"date","type","bottom","top","lower","upper","median","mean"
2020-02-14,"nowcast",1,1,1,1,1,1
2020-02-15,"nowcast",0,0,0,0,0,0
2020-02-16,"nowcast",0,0,0,0,0,0
2020-02-17,"nowcast",0,0,0,0,0,0
2020-02-18,"nowcast",0,0,0,0,0,0
2020-02-19,"nowcast",0,0,0,0,0,0
2020-02-20,"nowcast",0,1,0,1,0.5,0.5
2020-02-21,"nowcast",0,1,0,1,0.5,0.5
2020-02-22,"nowcast",0,1,0,0,0,0.2
2020-02-23,"nowcast",0,1,0,0,0,0.285714285714286
2020-02-24,"nowcast",0,1,0,0,0,0.125
2020-02-25,"nowcast",0,1,0,0,0,0.333333333333333
2020-02-26,"nowcast",0,1,0,0,0,0.266666666666667
2020-02-27,"nowcast",0,1,0,0,0,0.380952380952381
2020-02-28,"nowcast",0,1,1,1,1,0.526315789473684
2020-02-29,"nowcast",0,1,0,0,0,0.346938775510204
2020-03-01,"nowcast",0,1,0,0,0,0.305084745762712
2020-03-02,"nowcast",0,1,0,0,0,0.346153846153846
2020-03-03,"nowcast",0,1,0,0,0,0.361111111111111
2020-03-04,"nowcast",0,1,0,0,0,0.267175572519084
2020-03-05,"nowcast",0,1,0,0,0,0.309677419354839
2020-03-06,"nowcast",0,1,0,0,0,0.366834170854271
2020-03-07,"nowcast",0,1,0,0,0,0.357142857142857
2020-03-08,"nowcast",0,1,0,0,0,0.298360655737705
2020-03-09,"nowcast",0,1,0,0,0,0.392857142857143
2020-03-10,"nowcast",0,1,0,0,0,0.426303854875283
2020-03-11,"nowcast",0,1,0,0,0,0.413127413127413
2020-03-12,"nowcast",0,1,0,0,0,0.432937181663837
2020-03-13,"nowcast",0,1,0,0,0,0.522388059701492
2020-03-14,"nowcast",0,2,0,0,0,0.574270557029178
2020-03-15,"nowcast",0,2,0,0,0,0.600741656365884
2020-03-16,"nowcast",0,2,0,1,1,0.7440543601359
2020-03-17,"nowcast",0,2,0,1,1,0.857451403887689
2020-03-18,"nowcast",0,2,0,1,1,1.02702702702703
2020-03-19,"nowcast",0,3,0,1,1,1.17647058823529
2020-03-20,"nowcast",0,3,0,1,1,1.50301204819277
2020-03-21,"nowcast",0,4,0,1,1,1.7184368737475
2020-03-22,"nowcast",0,4,1,2,2,2.02002002002002
2020-03-23,"nowcast",0,5,0,2,2,2.453
2020-03-24,"nowcast",0,5,1,3,3,2.759
2020-03-25,"nowcast",0,6,1,3,3,3.199
2020-03-26,"nowcast",0,6,1,3,3,3.592
2020-03-27,"nowcast",0,7,2,4,4,4.155
2020-03-28,"nowcast",1,8,1,4,4,4.769
2020-03-29,"nowcast",1,9,2,5,5,5.522
2020-03-30,"nowcast",1,10,3,6,6,6.313
2020-03-31,"nowcast",2,12,3,7,7,7.385
2020-04-01,"nowcast",3,14,6,10,8,8.611
2020-04-02,"nowcast",4,16,5,10,10,10.219
2020-04-03,"nowcast",5,18,8,13,11,11.783
2020-04-04,"nowcast",6,21,8,14,14,14.045
2020-04-05,"nowcast",8,25,11,17,16,16.338
2020-04-06,"nowcast",9,27,15,22,19,19.124
2020-04-07,"nowcast",12,32,15,23,22,22.279
2020-04-08,"nowcast",15,36,17,26,25,25.667
2020-04-09,"nowcast",18,42,24,33,29,29.914
2020-04-10,"nowcast",20,45,26,36,34,34.159
2020-04-11,"nowcast",25,51,34,44,39,39.053
2020-04-12,"nowcast",31,58,35,46,44,43.966
2020-04-13,"nowcast",34,63,43,54,49,49.363
2020-04-14,"nowcast",40,69,50,61,55,55.312
2020-04-15,"nowcast",46,75,52,64,61,61.541
2020-04-16,"nowcast",51,80,62,73,67,67.198
2020-04-17,"nowcast",56,87,66,78,73,72.817
2020-04-18,"nowcast",61,91,69,81,78,77.727
2020-04-19,"nowcast",67,96,74,86,83,82.983
2020-04-20,"nowcast",70,100,83,94,88,87.493
2020-04-21,"nowcast",74,103,81,93,90,90.228
2020-04-22,"nowcast",75,107,83,95,92,92.242
2020-04-23,"nowcast",78,108,86,98,94,94.357
2020-04-24,"nowcast",77,108,88,100,96,95.551
2020-04-25,"nowcast",80,110,87,99,96,96.099
2020-04-26,"nowcast",79,109,91,103,95,95.526
2020-04-27,"nowcast",76,109,89,102,94,94.02
2020-04-28,"nowcast",77,111,87,100,95,95.334
2020-04-29,"nowcast",78,112,89,102,96,96.778
2020-04-30,"nowcast",81,117,91,105,100,100.471
2020-05-01,"nowcast",84,122,95,110,105,104.838
2020-05-02,"nowcast",87,127,100,116,110,110.468
2020-05-03,"nowcast",96,137,103,120,116,116.544
2020-05-04,"nowcast",104,145,112,128,122,122.303
2020-05-05,"nowcast",107,149,116,133,128,128.367
2020-05-06,"nowcast",111,158,121,139,135,135.393
2020-05-07,"nowcast",117,163,133,150,141.5,142.13
2020-05-08,"nowcast",124,171,139,158,150,150.192
2020-05-09,"nowcast",131,179,146,165,156,156.57
2020-05-10,"nowcast",136,186,148,168,163,162.885
2020-05-11,"nowcast",143,196,157,178,169,170.001
2020-05-12,"nowcast",153,208,163,184,177,177.844
2020-05-13,"nowcast",155,216,175,198,187,187.807
2020-05-14,"nowcast",169,231,187,212,198,198.763
2020-05-15,"nowcast",179,243,199,223,212,212.317
2020-05-16,"nowcast",196,258,209,235,228,227.424
2020-05-17,"nowcast",210,275,227,252,242,242.665
2020-05-18,"nowcast",224,290,236,265,259,259.863
2020-05-19,"nowcast",244,310,260,288,277,277.238
2020-05-20,"nowcast",262,326,270,298,292,292.628
2020-05-21,"nowcast",273,340,292,318,309,309.904
2020-05-22,"nowcast",290,354,305,332,324,323.95
2020-05-23,"nowcast",303,369,318,345,337,338.713
2020-05-24,"nowcast",316,382,331,358,351,351.795
2020-05-25,"nowcast",326,395,338,367,361,362.243
2020-05-26,"nowcast",333,402,350,380,371,371.51
2020-05-27,"nowcast",337,416,360,391,379,379.731
2020-05-28,"forecast",341,464,377,426,406,406.1736
2020-05-29,"forecast",346,491,389,447,424,424.2656
2020-05-30,"forecast",360,527,411,476,443,443.5774
2020-05-31,"forecast",365,560,417,493,462,462.6054
2020-06-01,"forecast",363,584,447,534,483,484.4094
2020-06-02,"forecast",384,627,457,554,505,505.881
2020-06-03,"forecast",377,658,472,581,528,528.7572
2020-06-04,"forecast",394,708,476,599,551,553.5504
2020-06-05,"forecast",393,735,512,645,576,579.1496
2020-06-06,"forecast",419,797,530,676,601,603.8962
2020-06-07,"forecast",426,840,532,698,630,632.2596
2020-06-08,"forecast",429,887,547,730,655,660.9272
2020-06-09,"forecast",434,936,583,779,686.5,692.2322
2020-06-10,"forecast",436,994,583,803,719,726.7682
