"date","type","bottom","top","lower","upper","median","mean"
2020-02-10,"nowcast",1,1,1,1,1,1
2020-02-11,"nowcast",0,0,0,0,0,0
2020-02-12,"nowcast",0,0,0,0,0,0
2020-02-13,"nowcast",0,0,0,0,0,0
2020-02-14,"nowcast",0,0,0,0,0,0
2020-02-15,"nowcast",0,1,0,1,0.5,0.5
2020-02-16,"nowcast",0,0,0,0,0,0
2020-02-17,"nowcast",0,0,0,0,0,0
2020-02-18,"nowcast",0,1,0,0,0,0.333333333333333
2020-02-19,"nowcast",0,1,0,0,0,0.4
2020-02-20,"nowcast",0,1,0,1,0.5,0.5
2020-02-21,"nowcast",0,1,0,0,0,0.3
2020-02-22,"nowcast",0,1,0,0,0,0.411764705882353
2020-02-23,"nowcast",0,1,0,0,0,0.392857142857143
2020-02-24,"nowcast",0,1,0,0,0,0.315789473684211
2020-02-25,"nowcast",0,1,0,0,0,0.282608695652174
2020-02-26,"nowcast",0,1,0,0,0,0.293103448275862
2020-02-27,"nowcast",0,1,0,0,0,0.2
2020-02-28,"nowcast",0,1,0,0,0,0.256410256410256
2020-02-29,"nowcast",0,1,0,0,0,0.225806451612903
2020-03-01,"nowcast",0,1,0,0,0,0.288135593220339
2020-03-02,"nowcast",0,1,0,0,0,0.348387096774194
2020-03-03,"nowcast",0,1,0,0,0,0.341836734693878
2020-03-04,"nowcast",0,1,0,0,0,0.318367346938775
2020-03-05,"nowcast",0,1,0,0,0,0.316498316498317
2020-03-06,"nowcast",0,1,0,0,0,0.343575418994413
2020-03-07,"nowcast",0,1,0,0,0,0.430839002267574
2020-03-08,"nowcast",0,1,0,0,0,0.431372549019608
2020-03-09,"nowcast",0,1,0,0,0,0.46523178807947
2020-03-10,"nowcast",0,1,0,0,0,0.458083832335329
2020-03-11,"nowcast",0,1,0,0,0,0.546061415220294
2020-03-12,"nowcast",0,2,0,0,0,0.615853658536585
2020-03-13,"nowcast",0,2,0,1,1,0.681093394077449
2020-03-14,"nowcast",0,2,0,1,1,0.807399347116431
2020-03-15,"nowcast",0,2,0,1,1,0.907853403141361
2020-03-16,"nowcast",0,2,0,1,1,1.13877551020408
2020-03-17,"nowcast",0,3,0,1,1,1.28976697061803
2020-03-18,"nowcast",0,3,0,1,1,1.50602409638554
2020-03-19,"nowcast",0,3,1,2,2,1.772
2020-03-20,"nowcast",0,4,1,2,2,1.863
2020-03-21,"nowcast",0,4,1,2,2,2.1
2020-03-22,"nowcast",0,4,1,2,2,2.337
2020-03-23,"nowcast",0,4,0,2,2,2.413
2020-03-24,"nowcast",0,4,0,2,2,2.47
2020-03-25,"nowcast",0,5,0,2,2,2.553
2020-03-26,"nowcast",0,5,0,2,2,2.589
2020-03-27,"nowcast",0,5,1,3,3,2.792
2020-03-28,"nowcast",1,6,1,3,3,3.077
2020-03-29,"nowcast",0,6,1,3,3,3.446
2020-03-30,"nowcast",1,7,2,4,4,3.923
2020-03-31,"nowcast",1,8,1,4,4,4.452
2020-04-01,"nowcast",2,9,2,5,5,5.332
2020-04-02,"nowcast",1,9,3,6,6,6.012
2020-04-03,"nowcast",2,11,4,7,7,6.878
2020-04-04,"nowcast",3,12,5,8,7,7.718
