"Region","New confirmed cases by infection date","Expected change in daily cases","Effective reproduction no.","Doubling/halving time (days)"
"RN-Açu","26 (16 -- 34)","Likely increasing","1.2 (0.9 -- 1.5)","22 (6.1 -- -14)"
"RN-Apodi","23 (12 -- 30)","Unsure","1.2 (0.8 -- 1.5)","19 (5.6 -- -15)"
"RN-Baraúna","10 (4 -- 16)","Likely increasing","1.4 (0.8 -- 2.1)","7.7 (3 -- -13)"
"RN-Caicó","41 (29 -- 52)","Likely increasing","1.2 (0.9 -- 1.5)","13 (5.9 -- -65)"
"RN-Currais Novos","14 (6 -- 21)","Likely increasing","1.3 (0.8 -- 1.8)","10 (3.7 -- -13)"
"RN-Guamaré","12 (4 -- 18)","Likely increasing","1.6 (0.9 -- 2.3)","4.4 (2.2 -- 200)"
"RN-Mossoró","90 (71 -- 106)","Increasing","1.2 (1 -- 1.4)","17 (8 -- -130)"
"RN-Natal","166 (138 -- 193)","Likely decreasing","0.9 (0.8 -- 1)","-48 (38 -- -15)"
"RN-Parnamirim","44 (31 -- 54)","Unsure","1 (0.8 -- 1.2)","-1700 (12 -- -11)"
"RN-São Gonçalo do Amarante","14 (5 -- 20)","Unsure","1.1 (0.7 -- 1.6)","33 (4.7 -- -6.5)"
"RN-São José de Mipibu","13 (4 -- 20)","Unsure","1.1 (0.7 -- 1.6)","19 (4.3 -- -8.4)"
