region,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
RN-Açu,2020-04-03,nowcast,1.3,0.2,2.6,0.7,1.6,0.34
RN-Açu,2020-04-04,nowcast,1.1,0.2,2.2,0.7,1.4,0.39
RN-Açu,2020-04-05,nowcast,1.1,0.2,2.3,0.7,1.4,0.42
RN-Açu,2020-04-06,nowcast,1.1,0.1,2.2,0.7,1.5,0.44
RN-Açu,2020-04-07,nowcast,1.2,0.3,2.3,0.8,1.5,0.39
RN-Açu,2020-04-08,nowcast,1.2,0.3,2.2,0.7,1.4,0.38
RN-Açu,2020-04-09,nowcast,1.2,0.2,2.3,0.8,1.6,0.34
RN-Açu,2020-04-10,nowcast,1.2,0.3,2.5,0.6,1.3,0.39
RN-Açu,2020-04-11,nowcast,1.1,0.2,2.3,0.7,1.4,0.39
RN-Açu,2020-04-12,nowcast,1.2,0.3,2.2,0.9,1.6,0.35
RN-Açu,2020-04-13,nowcast,1.2,0.3,2.3,0.7,1.4,0.37
RN-Açu,2020-04-14,nowcast,1.2,0.2,2.1,0.8,1.4,0.35
RN-Açu,2020-04-15,nowcast,1.1,0.2,2.2,0.6,1.3,0.46
RN-Açu,2020-04-16,nowcast,1.2,0.4,2.1,0.7,1.4,0.35
RN-Açu,2020-04-17,nowcast,1.2,0.3,2.3,0.6,1.3,0.37
RN-Açu,2020-04-18,nowcast,1.2,0.2,2.1,0.8,1.5,0.32
RN-Açu,2020-04-19,nowcast,1.2,0.4,2,0.6,1.3,0.37
RN-Açu,2020-04-20,nowcast,1.2,0.5,2.3,0.9,1.5,0.3
RN-Açu,2020-04-21,nowcast,1.2,0.4,2.1,0.7,1.4,0.36
RN-Açu,2020-04-22,nowcast,1.1,0.4,2,0.7,1.3,0.41
RN-Açu,2020-04-23,nowcast,1.2,0.4,2.2,0.8,1.4,0.32
RN-Açu,2020-04-24,nowcast,1.1,0.5,2,0.8,1.3,0.41
RN-Açu,2020-04-25,nowcast,1.1,0.3,2,0.7,1.3,0.42
RN-Açu,2020-04-26,nowcast,1.1,0.5,2,0.8,1.3,0.37
RN-Açu,2020-04-27,nowcast,1.1,0.5,2.1,0.8,1.4,0.37
RN-Açu,2020-04-28,nowcast,1.1,0.4,1.9,0.8,1.4,0.39
RN-Açu,2020-04-29,nowcast,1.1,0.5,1.9,0.7,1.3,0.41
RN-Açu,2020-04-30,nowcast,1.1,0.4,1.9,0.8,1.3,0.4
RN-Açu,2020-05-01,nowcast,1.1,0.5,2,0.9,1.4,0.36
RN-Açu,2020-05-02,nowcast,1.1,0.5,2.2,0.7,1.3,0.41
RN-Açu,2020-05-03,nowcast,1.1,0.4,1.8,0.9,1.4,0.35
RN-Açu,2020-05-04,nowcast,1.1,0.4,1.9,0.7,1.3,0.43
RN-Açu,2020-05-05,nowcast,1.2,0.5,1.8,0.8,1.4,0.32
RN-Açu,2020-05-06,nowcast,1.2,0.5,1.9,0.9,1.4,0.33
RN-Açu,2020-05-07,nowcast,1.2,0.6,2,0.8,1.3,0.29
RN-Açu,2020-05-08,nowcast,1.2,0.5,1.9,1,1.5,0.27
RN-Açu,2020-05-09,nowcast,1.2,0.5,1.9,0.9,1.4,0.31
RN-Açu,2020-05-10,nowcast,1.2,0.6,2,0.9,1.4,0.26
RN-Açu,2020-05-11,nowcast,1.2,0.7,1.8,1,1.4,0.25
RN-Açu,2020-05-12,nowcast,1.2,0.6,1.7,0.9,1.4,0.29
RN-Açu,2020-05-13,nowcast,1.2,0.6,1.8,1,1.5,0.28
RN-Açu,2020-05-14,nowcast,1.2,0.6,1.8,1,1.4,0.28
RN-Açu,2020-05-15,nowcast,1.1,0.7,1.8,0.9,1.3,0.3
RN-Açu,2020-05-16,nowcast,1.1,0.5,1.7,1,1.4,0.33
RN-Açu,2020-05-17,nowcast,1.1,0.6,1.9,0.9,1.3,0.36
RN-Açu,2020-05-18,nowcast,1.1,0.4,1.7,0.9,1.3,0.35
RN-Açu,2020-05-19,nowcast,1.1,0.5,1.7,0.9,1.3,0.38
RN-Açu,2020-05-20,nowcast,1.1,0.5,1.6,0.8,1.3,0.38
RN-Açu,2020-05-21,nowcast,1.1,0.6,1.6,0.9,1.3,0.41
RN-Açu,2020-05-22,nowcast,1.1,0.7,1.8,0.9,1.3,0.36
RN-Açu,2020-05-23,nowcast,1.1,0.6,1.6,0.8,1.2,0.38
RN-Açu,2020-05-24,nowcast,1.2,0.7,1.8,0.9,1.3,0.32
RN-Açu,2020-05-25,nowcast,1.2,0.7,1.7,0.9,1.3,0.26
RN-Açu,2020-05-26,nowcast,1.2,0.7,1.7,1,1.3,0.29
RN-Açu,2020-05-27,nowcast,1.1,0.7,1.7,0.9,1.3,0.29
RN-Açu,2020-05-28,nowcast,1.2,0.7,1.7,1,1.3,0.29
RN-Açu,2020-05-29,nowcast,1.2,0.7,1.7,0.9,1.3,0.24
RN-Açu,2020-05-30,nowcast,1.2,0.8,1.8,1,1.4,0.2
RN-Açu,2020-05-31,nowcast,1.2,0.8,1.6,1,1.3,0.22
RN-Açu,2020-06-01,nowcast,1.1,0.8,1.6,0.9,1.2,0.3
RN-Açu,2020-06-02,nowcast,1.1,0.7,1.6,1,1.3,0.25
RN-Açu,2020-06-03,nowcast,1.2,0.7,1.6,1,1.3,0.26
RN-Açu,2020-06-04,nowcast,1.1,0.8,1.6,1,1.3,0.25
RN-Açu,2020-06-05,nowcast,1.2,0.8,1.7,1,1.3,0.22
RN-Açu,2020-06-06,nowcast,1.2,0.8,1.6,0.9,1.3,0.25
RN-Açu,2020-06-07,nowcast,1.1,0.7,1.6,0.9,1.2,0.3
RN-Açu,2020-06-08,nowcast,1.1,0.7,1.6,1,1.3,0.29
RN-Açu,2020-06-09,nowcast,1.1,0.7,1.5,1,1.3,0.35
RN-Açu,2020-06-10,nowcast,1.1,0.7,1.5,0.9,1.3,0.3
RN-Açu,2020-06-11,nowcast,1.1,0.8,1.4,1,1.2,0.28
RN-Açu,2020-06-12,nowcast,1.1,0.8,1.6,1,1.2,0.21
RN-Açu,2020-06-13,nowcast,1.2,0.7,1.6,1,1.3,0.21
RN-Açu,2020-06-14,nowcast,1.2,0.8,1.5,1,1.3,0.19
RN-Açu,2020-06-15,nowcast,1.2,0.8,1.5,1,1.3,0.21
RN-Açu,2020-06-16,nowcast,1.2,0.7,1.5,0.9,1.2,0.24
RN-Açu,2020-06-17,nowcast,1.2,0.8,1.6,1,1.3,0.18
RN-Açu,2020-06-18,nowcast,1.1,0.8,1.5,1.1,1.3,0.19
RN-Açu,2020-06-19,nowcast,1.1,0.8,1.5,1,1.2,0.23
RN-Açu,2020-06-20,nowcast,1.1,0.9,1.4,1,1.2,0.25
RN-Açu,2020-06-21,nowcast,1.1,0.8,1.5,1,1.2,0.27
RN-Açu,2020-06-22,nowcast,1.1,0.8,1.4,1,1.2,0.25
RN-Açu,2020-06-23,nowcast,1.1,0.8,1.4,1,1.2,0.24
RN-Açu,2020-06-24,nowcast,1.1,0.8,1.4,1,1.3,0.29
RN-Açu,2020-06-25,nowcast,1.1,0.8,1.5,0.9,1.2,0.33
RN-Açu,2020-06-26,nowcast,1,0.8,1.4,0.9,1.1,0.45
RN-Açu,2020-06-27,nowcast,1,0.6,1.2,0.9,1.1,0.59
RN-Açu,2020-06-28,nowcast,0.9,0.6,1.2,0.8,1.1,0.7
RN-Açu,2020-06-29,nowcast,0.9,0.6,1.2,0.8,1,0.66
RN-Açu,2020-06-30,nowcast,0.9,0.7,1.2,0.8,1,0.69
RN-Açu,2020-07-01,nowcast,1,0.7,1.2,0.9,1.1,0.62
RN-Açu,2020-07-02,nowcast,1,0.7,1.3,0.9,1.1,0.52
RN-Açu,2020-07-03,nowcast,1,0.8,1.3,0.8,1.1,0.51
RN-Açu,2020-07-04,nowcast,1,0.7,1.4,0.9,1.1,0.43
RN-Açu,2020-07-05,nowcast,1,0.7,1.3,0.9,1.1,0.43
RN-Açu,2020-07-06,nowcast,1,0.7,1.4,0.9,1.2,0.38
RN-Açu,2020-07-07,nowcast,1,0.7,1.4,0.9,1.2,0.4
RN-Açu,2020-07-08,nowcast,1,0.8,1.3,0.9,1.1,0.45
RN-Açu,2020-07-09,nowcast,1,0.7,1.3,0.9,1.1,0.49
RN-Açu,2020-07-10,nowcast,1,0.7,1.3,0.9,1.1,0.5
RN-Açu,2020-07-11,nowcast,1,0.7,1.4,0.9,1.1,0.45
RN-Açu,2020-07-12,nowcast,1.1,0.7,1.4,0.9,1.2,0.36
RN-Açu,2020-07-13,nowcast,1.1,0.8,1.4,0.9,1.1,0.35
RN-Açu,2020-07-14,nowcast,1.1,0.8,1.4,1,1.2,0.32
RN-Açu,2020-07-15,nowcast,1.1,0.8,1.4,0.9,1.1,0.35
RN-Açu,2020-07-16,nowcast,1.1,0.8,1.5,0.9,1.2,0.36
RN-Açu,2020-07-17,nowcast,1,0.8,1.4,0.9,1.2,0.39
RN-Açu,2020-07-18,nowcast,1.1,0.8,1.4,1,1.2,0.34
RN-Açu,2020-07-19,nowcast,1.1,0.8,1.3,1,1.2,0.35
RN-Açu,2020-07-20,nowcast,1.1,0.7,1.3,1,1.2,0.35
RN-Açu,2020-07-21,nowcast,1,0.8,1.3,1,1.2,0.38
RN-Açu,2020-07-22,nowcast,1,0.8,1.3,0.9,1.1,0.38
RN-Açu,2020-07-23,nowcast,1.1,0.8,1.4,0.9,1.1,0.33
RN-Açu,2020-07-24,nowcast,1.1,0.8,1.4,1,1.2,0.24
RN-Açu,2020-07-25,nowcast,1.1,0.9,1.4,1,1.2,0.24
