"Region","New confirmed cases by infection date","Expected change in daily cases","Effective reproduction no.","Doubling/halving time (days)"
"AL-Arapiraca","37 (24 -- 48)","Decreasing","0.7 (0.5 -- 0.9)","-6.7 (-17 -- -4.1)"
"AL-Maceió","216 (189 -- 244)","Likely decreasing","0.9 (0.9 -- 1)","-50 (58 -- -18)"
"BA-Camaçari","73 (52 -- 88)","Unsure","0.9 (0.8 -- 1.1)","-22 (49 -- -9.1)"
"BA-Feira de Santana","131 (114 -- 153)","Unsure","1 (0.9 -- 1.2)","75 (16 -- -27)"
"BA-Ilhéus","62 (47 -- 75)","Likely increasing","1.1 (0.9 -- 1.3)","25 (8.6 -- -28)"
"BA-Itabuna","75 (58 -- 89)","Unsure","1 (0.8 -- 1.1)","190 (15 -- -17)"
"BA-Jequié","89 (72 -- 106)","Likely increasing","1.1 (0.9 -- 1.2)","47 (12 -- -25)"
"BA-Lauro de Freitas","40 (27 -- 52)","Decreasing","0.7 (0.5 -- 0.9)","-7 (-16 -- -4.5)"
"BA-Salvador","484 (438 -- 527)","Decreasing","0.9 (0.8 -- 1)","-24 (-68 -- -15)"
"BA-Teixeira de Freitas","31 (18 -- 40)","Likely decreasing","0.9 (0.7 -- 1.1)","-20 (23 -- -6.9)"
"CE-Acaraú","26 (16 -- 35)","Unsure","1.1 (0.8 -- 1.3)","31 (7 -- -13)"
"CE-Caucaia","59 (40 -- 75)","Unsure","1 (0.8 -- 1.2)","-190 (15 -- -12)"
"CE-Crato","57 (37 -- 72)","Likely decreasing","0.9 (0.7 -- 1.1)","-20 (32 -- -7.8)"
"CE-Fortaleza","247 (214 -- 282)","Increasing","1.1 (1 -- 1.3)","17 (10 -- 62)"
"CE-Juazeiro do Norte","76 (57 -- 91)","Decreasing","0.7 (0.5 -- 0.8)","-5.3 (-7.8 -- -4)"
"CE-Maracanaú","35 (22 -- 45)","Likely decreasing","0.9 (0.6 -- 1.1)","-21 (21 -- -6.9)"
"CE-Maranguape","119 (74 -- 161)","Unsure","1.1 (0.9 -- 1.3)","37 (9.5 -- -21)"
"CE-Quixadá","33 (20 -- 45)","Unsure","0.9 (0.7 -- 1.1)","-18 (21 -- -6.3)"
"CE-Sobral","73 (53 -- 89)","Decreasing","0.8 (0.6 -- 0.9)","-9.3 (-21 -- -5.9)"
"CE-Tianguá","56 (43 -- 71)","Likely increasing","1.2 (0.9 -- 1.4)","17 (7.1 -- -43)"
"MA-Açailândia","31 (19 -- 41)","Likely increasing","1.3 (1 -- 1.7)","7.7 (4 -- 140)"
"MA-Bacabal","41 (21 -- 59)","Decreasing","0.8 (0.5 -- 1)","-8.4 (-63 -- -4.5)"
"MA-Barra do Corda","31 (20 -- 41)","Likely decreasing","0.8 (0.6 -- 1.1)","-15 (33 -- -6)"
"MA-Caxias","42 (28 -- 53)","Unsure","1 (0.8 -- 1.2)","41 (9.1 -- -16)"
"MA-Chapadinha","41 (28 -- 56)","Unsure","1 (0.7 -- 1.3)","1300 (9.7 -- -9.9)"
"MA-Imperatriz","28 (16 -- 37)","Likely decreasing","0.8 (0.6 -- 1)","-13 (38 -- -5.4)"
"MA-Santa Inês","28 (18 -- 38)","Unsure","1.1 (0.8 -- 1.4)","24 (6.3 -- -14)"
"MA-São Luís","100 (82 -- 118)","Unsure","1 (0.9 -- 1.2)","1700 (17 -- -18)"
"MA-Zé Doca","55 (38 -- 68)","Increasing","1.3 (1.1 -- 1.6)","6.9 (4.1 -- 22)"
"PB-Campina Grande","134 (108 -- 162)","Unsure","1 (0.9 -- 1.1)","-68 (25 -- -14)"
"PB-Guarabira","29 (16 -- 40)","Unsure","0.9 (0.7 -- 1.2)","-22 (16 -- -6.6)"
"PB-João Pessoa","163 (139 -- 186)","Decreasing","0.8 (0.7 -- 0.9)","-14 (-31 -- -8.8)"
"PB-Patos","31 (20 -- 41)","Likely decreasing","0.8 (0.6 -- 1)","-9.7 (-110 -- -5.2)"
"PE-Caruaru","75 (57 -- 88)","Unsure","1.1 (0.9 -- 1.2)","33 (10 -- -27)"
"PE-Jaboatão dos Guararapes","55 (39 -- 68)","Unsure","1.1 (0.9 -- 1.3)","42 (9.7 -- -18)"
"PE-Olinda","44 (29 -- 57)","Unsure","1 (0.8 -- 1.2)","85 (9.9 -- -13)"
"PE-Recife","164 (139 -- 188)","Unsure","1 (0.9 -- 1.1)","-56 (40 -- -17)"
"PI-Parnaíba","59 (42 -- 72)","Likely decreasing","0.9 (0.7 -- 1)","-17 (90 -- -7.8)"
"PI-Teresina","182 (158 -- 208)","Decreasing","0.8 (0.7 -- 0.9)","-12 (-21 -- -7.9)"
"RN-Mossoró","47 (35 -- 60)","Decreasing","0.8 (0.6 -- 0.9)","-14 (490 -- -6.7)"
"RN-Natal","68 (49 -- 87)","Decreasing","0.6 (0.4 -- 0.7)","-5 (-7 -- -3.9)"
"RN-Parnamirim","63 (46 -- 76)","Unsure","0.9 (0.8 -- 1.1)","-220 (15 -- -13)"
"SE-Aracaju","496 (439 -- 550)","Likely increasing","1 (1 -- 1.1)","53 (22 -- -130)"
"SE-Itabaiana","54 (39 -- 66)","Unsure","1 (0.8 -- 1.2)","-290 (14 -- -13)"
"SE-Nossa Senhora do Socorro","36 (26 -- 46)","Unsure","1 (0.8 -- 1.2)","200 (10 -- -12)"
