region,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
BA-Salvador,2020-03-18,nowcast,1.5,0.9,2.1,1.2,1.7,0.06
BA-Salvador,2020-03-19,nowcast,1.5,0.9,2.1,1.2,1.7,0.06
BA-Salvador,2020-03-20,nowcast,1.5,0.9,2,1.3,1.7,0.05
BA-Salvador,2020-03-21,nowcast,1.5,1,2,1.3,1.6,0.05
BA-Salvador,2020-03-22,nowcast,1.4,1,1.9,1.2,1.6,0.05
BA-Salvador,2020-03-23,nowcast,1.4,1,1.9,1.2,1.6,0.05
BA-Salvador,2020-03-24,nowcast,1.4,1,1.9,1.2,1.6,0.05
BA-Salvador,2020-03-25,nowcast,1.4,1,1.8,1.2,1.5,0.04
BA-Salvador,2020-03-26,nowcast,1.4,1,1.8,1.2,1.5,0.04
BA-Salvador,2020-03-27,nowcast,1.4,1,1.8,1.2,1.5,0.04
BA-Salvador,2020-03-28,nowcast,1.4,1,1.8,1.3,1.5,0.04
BA-Salvador,2020-03-29,nowcast,1.4,1,1.8,1.2,1.5,0.03
BA-Salvador,2020-03-30,nowcast,1.4,1,1.8,1.3,1.6,0.03
BA-Salvador,2020-03-31,nowcast,1.4,1.1,1.9,1.2,1.6,0.02
BA-Salvador,2020-04-01,nowcast,1.5,1.1,2,1.2,1.6,0.02
BA-Salvador,2020-04-02,nowcast,1.5,1.1,2.1,1.2,1.7,0.01
BA-Salvador,2020-04-03,nowcast,1.6,1.1,2.2,1.3,1.8,0.01
BA-Salvador,2020-04-04,nowcast,1.7,1.1,2.3,1.3,1.8,0
BA-Salvador,2020-04-05,nowcast,1.8,1.2,2.4,1.3,1.9,0
BA-Salvador,2020-04-06,nowcast,1.9,1.2,2.7,1.5,2.1,0
BA-Salvador,2020-04-07,nowcast,1.9,1.2,2.6,1.5,2.1,0
BA-Salvador,2020-04-08,nowcast,1.7,0.8,2.5,1.4,2,0.09
BA-Salvador,2020-04-09,nowcast,1.5,0.1,2.3,1.3,2.2,0.28
BA-Salvador,2020-04-10,nowcast,1.7,0.1,2.5,1.4,2.1,0.2
BA-Salvador,2020-04-10,forecast,0.4,0,1,0,0.4,0.92
BA-Salvador,2020-04-11,nowcast,1.9,1.3,2.8,1.4,2,0
BA-Salvador,2020-04-11,forecast,0.4,0,1.1,0,0.4,0.88
BA-Salvador,2020-04-12,nowcast,1.9,1.3,2.7,1.4,1.9,0
BA-Salvador,2020-04-12,forecast,0.5,0,1.3,0,0.5,0.8
BA-Salvador,2020-04-13,nowcast,1.7,0.8,2.5,1.5,1.9,0.08
BA-Salvador,2020-04-13,forecast,0.6,0,1.4,0,0.6,0.75
BA-Salvador,2020-04-14,nowcast,1.5,0.1,2.1,1.3,2,0.3
BA-Salvador,2020-04-14,forecast,0.5,0,1.5,0,0.5,0.72
BA-Salvador,2020-04-15,nowcast,1.6,0.1,2.2,1.4,2.1,0.33
BA-Salvador,2020-04-15,forecast,0.4,0,1.4,0,0.4,0.76
BA-Salvador,2020-04-16,nowcast,1.8,1.4,2.3,1.7,2,0
BA-Salvador,2020-04-16,forecast,0.3,0,1.4,0,0.3,0.81
BA-Salvador,2020-04-17,nowcast,1.8,0.8,2.3,1.7,2.1,0.11
BA-Salvador,2020-04-17,forecast,0.4,0,1.5,0,0.4,0.78
BA-Salvador,2020-04-18,nowcast,1.9,0.1,2.3,1.7,2.2,0.21
BA-Salvador,2020-04-18,forecast,0.4,0,1.5,0,0.4,0.76
BA-Salvador,2020-04-19,nowcast,2.1,1.5,2.7,1.8,2.3,0
BA-Salvador,2020-04-19,forecast,0.3,0,1.6,0,0.3,0.76
BA-Salvador,2020-04-20,nowcast,2.1,1.4,2.6,1.8,2.3,0
BA-Salvador,2020-04-20,forecast,0.4,0,1.6,0,0.4,0.74
BA-Salvador,2020-04-21,forecast,0.9,0,2.3,0,0.9,0.53
BA-Salvador,2020-04-22,forecast,0.9,0,2.4,0,0.9,0.52
BA-Salvador,2020-04-23,forecast,1,0,2.4,0,1,0.51
BA-Salvador,2020-04-24,forecast,1.2,0,2.5,0,1.2,0.47
BA-Salvador,2020-04-25,forecast,1.4,0,2.6,0,1.4,0.42
BA-Salvador,2020-04-26,forecast,1.4,0,2.7,0,1.4,0.41
BA-Salvador,2020-04-27,forecast,1.5,0,2.7,0,1.5,0.41
BA-Salvador,2020-04-28,forecast,1.5,0,2.8,0,1.5,0.4
BA-Salvador,2020-04-29,forecast,1.7,0,2.9,1.4,2.8,0.33
BA-Salvador,2020-04-30,forecast,2,0,3,1.6,2.6,0.17
BA-Salvador,2020-05-01,forecast,2,0,3.1,1.6,2.6,0.16
BA-Salvador,2020-05-02,forecast,2,0,3.2,1.5,2.6,0.16
BA-Salvador,2020-05-03,forecast,2.3,1.2,3.5,1.7,2.5,0.02
BA-Salvador,2020-05-04,forecast,2.2,1.1,3.4,1.7,2.6,0.02
CE-Fortaleza,2020-03-16,nowcast,1.6,1.2,2.1,1.4,1.8,0
CE-Fortaleza,2020-03-17,nowcast,1.5,1.2,2,1.4,1.7,0.01
CE-Fortaleza,2020-03-18,nowcast,1.5,1.2,1.9,1.3,1.6,0.01
CE-Fortaleza,2020-03-19,nowcast,1.4,1.1,1.8,1.3,1.6,0.01
CE-Fortaleza,2020-03-20,nowcast,1.4,1.1,1.7,1.3,1.5,0.01
CE-Fortaleza,2020-03-21,nowcast,1.4,1.1,1.7,1.3,1.5,0.01
CE-Fortaleza,2020-03-22,nowcast,1.4,1.1,1.6,1.3,1.5,0.01
CE-Fortaleza,2020-03-23,nowcast,1.4,1.1,1.6,1.3,1.5,0
CE-Fortaleza,2020-03-24,nowcast,1.4,1.1,1.6,1.3,1.5,0
CE-Fortaleza,2020-03-25,nowcast,1.4,1.2,1.6,1.3,1.5,0
CE-Fortaleza,2020-03-26,nowcast,1.4,1.2,1.6,1.3,1.5,0
CE-Fortaleza,2020-03-27,nowcast,1.4,1.2,1.7,1.3,1.5,0
CE-Fortaleza,2020-03-28,nowcast,1.4,1.2,1.6,1.3,1.5,0
CE-Fortaleza,2020-03-29,nowcast,1.4,1.2,1.6,1.3,1.5,0
CE-Fortaleza,2020-03-30,nowcast,1.4,1.2,1.6,1.3,1.4,0
CE-Fortaleza,2020-03-31,nowcast,1.3,1.1,1.5,1.2,1.4,0
