"Region","New confirmed cases by infection date","Expected change in daily cases","Effective reproduction no.","Doubling/halving time (days)"
"AL-Anadia","5 (0 -- 10)","Unsure","1.2 (0.1 -- 2.2)","20 (2 -- -2.5)"
"AL-Arapiraca","42 (28 -- 55)","Decreasing","0.5 (0.4 -- 0.7)","-4.2 (-6.2 -- -3.3)"
"AL-Atalaia","5 (0 -- 8)","Unsure","1.3 (0.3 -- 2)","9.9 (2.5 -- -5)"
"AL-Barra de São Miguel","4 (0 -- 8)","Unsure","1.6 (0.4 -- 2.8)","6.7 (1.8 -- -3.8)"
"AL-Batalha","11 (2 -- 16)","Unsure","1.2 (0.6 -- 1.7)","13 (3.5 -- -7.9)"
"AL-Belo Monte","4 (1 -- 9)","Unsure","1.5 (0.4 -- 2.6)","5.6 (1.9 -- -5.8)"
"AL-Boca da Mata","8 (3 -- 14)","Unsure","1 (0.5 -- 1.5)","150 (4.6 -- -4.8)"
"AL-Branquinha","4 (0 -- 8)","Unsure","1.2 (0.3 -- 2.1)","6.6 (1.7 -- -3.6)"
"AL-Cacimbinhas","8 (0 -- 13)","Unsure","1 (0.4 -- 1.5)","-18 (5.7 -- -3.5)"
"AL-Cajueiro","6 (2 -- 10)","Unsure","1.2 (0.4 -- 2)","30 (3.2 -- -3.9)"
"AL-Campo Alegre","8 (2 -- 13)","Unsure","1.1 (0.6 -- 1.7)","-110 (4.3 -- -4.5)"
"AL-Campo Grande","4 (0 -- 8)","Unsure","1.4 (0.3 -- 2.4)","11 (2.1 -- -3)"
"AL-Carneiros","5 (0 -- 10)","Unsure","1.6 (0.4 -- 2.9)","5.2 (1.5 -- -3.5)"
"AL-Coité do Nóia","3 (0 -- 6)","Unsure","1.4 (0.3 -- 2.4)","8.4 (2 -- -3.5)"
"AL-Coruripe","9 (4 -- 15)","Unsure","0.9 (0.5 -- 1.3)","-22 (7 -- -4.4)"
"AL-Craíbas","4 (1 -- 10)","Unsure","1 (0.3 -- 1.5)","-14 (4 -- -2.6)"
"AL-Delmiro Gouveia","15 (7 -- 22)","Unsure","1.1 (0.8 -- 1.6)","20 (4.5 -- -8)"
"AL-Dois Riachos","6 (1 -- 10)","Unsure","1.4 (0.7 -- 2.4)","11 (2.4 -- -5)"
"AL-Feira Grande","6 (0 -- 12)","Unsure","1.3 (0.4 -- 2.2)","13 (2.5 -- -4)"
"AL-Feliz Deserto","4 (0 -- 7)","Unsure","1.5 (0.1 -- 2.6)","6.2 (1.7 -- -3.7)"
"AL-Flexeiras","5 (0 -- 9)","Unsure","1.4 (0.5 -- 2.3)","7.5 (2 -- -4.4)"
"AL-Girau do Ponciano","20 (9 -- 28)","Likely increasing","1.3 (0.9 -- 1.7)","10 (4.1 -- -21)"
"AL-Ibateguara","7 (1 -- 10)","Unsure","1 (0.5 -- 1.4)","-34 (6 -- -4.2)"
"AL-Igaci","5 (0 -- 10)","Unsure","1.5 (0.5 -- 2.5)","7.1 (1.7 -- -4.2)"
"AL-Igreja Nova","9 (3 -- 15)","Unsure","1.1 (0.6 -- 1.6)","37 (4.1 -- -4.8)"
"AL-Inhapi","6 (0 -- 12)","Unsure","1.3 (0.4 -- 2.3)","9.9 (2 -- -3.7)"
"AL-Jequiá da Praia","4 (0 -- 7)","Unsure","1.3 (0.4 -- 2.3)","14 (2.2 -- -3)"
"AL-Joaquim Gomes","4 (0 -- 9)","Unsure","1.2 (0.2 -- 2)","21 (2.4 -- -3.1)"
"AL-Junqueiro","7 (0 -- 12)","Unsure","1.3 (0.6 -- 2)","14 (3.1 -- -5.6)"
"AL-Lagoa da Canoa","6 (1 -- 10)","Unsure","1.4 (0.6 -- 2.2)","11 (2.7 -- -4.8)"
"AL-Limoeiro de Anadia","6 (1 -- 10)","Unsure","1.2 (0.6 -- 1.9)","38 (3.2 -- -3.8)"
"AL-Maceió","83 (62 -- 101)","Likely decreasing","0.9 (0.7 -- 1)","-22 (54 -- -9.4)"
"AL-Major Isidoro","5 (0 -- 10)","Unsure","1.4 (0.4 -- 2.3)","8.4 (2.2 -- -4.3)"
"AL-Maragogi","4 (0 -- 9)","Unsure","1.1 (0.4 -- 1.8)","36 (2.5 -- -3.1)"
"AL-Maravilha","4 (1 -- 7)","Unsure","1.6 (0.6 -- 2.7)","5.7 (1.7 -- -3.7)"
"AL-Marechal Deodoro","27 (17 -- 38)","Unsure","1.1 (0.8 -- 1.4)","21 (6 -- -13)"
"AL-Maribondo","4 (0 -- 9)","Unsure","1.2 (0.4 -- 2)","14 (2.3 -- -3.7)"
"AL-Mata Grande","5 (0 -- 9)","Unsure","1.3 (0.5 -- 2)","13 (2.7 -- -4.6)"
"AL-Matriz de Camaragibe","14 (8 -- 20)","Unsure","1.1 (0.7 -- 1.4)","38 (5.9 -- -8)"
"AL-Messias","7 (2 -- 11)","Unsure","1.2 (0.5 -- 1.9)","14 (3.1 -- -5)"
"AL-Monteirópolis","6 (0 -- 9)","Unsure","1.4 (0.4 -- 2.1)","8.8 (2.5 -- -5.1)"
"AL-Murici","5 (1 -- 9)","Unsure","1.5 (0.5 -- 2.4)","6.8 (2.1 -- -4.3)"
"AL-Olho d'Água das Flores","18 (11 -- 25)","Likely increasing","1.3 (0.9 -- 1.8)","7.5 (3.4 -- -41)"
"AL-Olho d'Água Grande","3 (0 -- 6)","Unsure","1.6 (0.4 -- 2.6)","5.1 (1.6 -- -3.8)"
"AL-Olivença","4 (0 -- 9)","Unsure","1.4 (0.4 -- 2.3)","12 (2.1 -- -3.3)"
"AL-Palestina","10 (2 -- 17)","Likely increasing","1.5 (0.8 -- 2.3)","5.9 (2.3 -- -12)"
"AL-Palmeira dos Índios","27 (17 -- 37)","Unsure","1.1 (0.8 -- 1.4)","64 (7.6 -- -9.6)"
"AL-Pão de Açúcar","15 (8 -- 20)","Likely increasing","1.3 (0.8 -- 1.7)","10 (3.9 -- -16)"
"AL-Pariconha","5 (1 -- 9)","Unsure","1.3 (0.5 -- 2)","16 (2.7 -- -4.1)"
"AL-Passo de Camaragibe","6 (0 -- 9)","Unsure","1 (0.5 -- 1.6)","-34 (4.2 -- -3.3)"
"AL-Paulo Jacinto","3 (0 -- 8)","Unsure","1.6 (0.2 -- 2.9)","5.4 (1.4 -- -2.9)"
"AL-Penedo","22 (13 -- 30)","Unsure","1.1 (0.8 -- 1.5)","18 (5.2 -- -13)"
"AL-Pilar","6 (2 -- 11)","Unsure","1.1 (0.5 -- 1.6)","670 (3.8 -- -4.1)"
"AL-Piranhas","9 (2 -- 14)","Likely increasing","1.4 (0.7 -- 2)","7.4 (2.8 -- -11)"
"AL-Poço das Trincheiras","5 (0 -- 10)","Unsure","1.5 (0.4 -- 2.5)","7.2 (1.9 -- -4.1)"
"AL-Porto Calvo","5 (0 -- 12)","Unsure","1.1 (0.4 -- 1.7)","43 (2.8 -- -3)"
"AL-Porto de Pedras","3 (0 -- 6)","Unsure","1.4 (0.3 -- 2.3)","8.1 (1.8 -- -2.8)"
"AL-Porto Real do Colégio","5 (0 -- 8)","Unsure","1.2 (0.7 -- 2)","9 (2.4 -- -5.1)"
"AL-Quebrangulo","8 (4 -- 14)","Unsure","1.2 (0.7 -- 1.8)","22 (4 -- -6.5)"
"AL-Rio Largo","13 (5 -- 18)","Unsure","1.2 (0.7 -- 1.5)","17 (4.6 -- -10)"
"AL-Santana do Ipanema","21 (13 -- 33)","Unsure","1 (0.7 -- 1.4)","90 (7.5 -- -8.5)"
"AL-São Brás","6 (1 -- 10)","Unsure","1.3 (0.6 -- 2)","8.6 (2.4 -- -5.8)"
"AL-São José da Laje","4 (0 -- 8)","Unsure","1.2 (0.3 -- 1.9)","8.9 (2.2 -- -4.1)"
"AL-São José da Tapera","14 (7 -- 21)","Unsure","1.1 (0.7 -- 1.5)","20 (4.6 -- -7.8)"
"AL-São Luís do Quitunde","9 (3 -- 13)","Unsure","1.1 (0.7 -- 1.6)","23 (4.2 -- -6.6)"
"AL-São Miguel dos Campos","8 (3 -- 12)","Likely decreasing","0.7 (0.4 -- 1)","-5.9 (21 -- -2.8)"
"AL-Satuba","5 (0 -- 10)","Unsure","1.3 (0.4 -- 2.1)","13 (2.3 -- -3.5)"
"AL-Tanque d'Arca","3 (0 -- 7)","Likely increasing","1.8 (0.4 -- 3)","5.1 (1.5 -- -4.3)"
"AL-Teotônio Vilela","6 (1 -- 10)","Unsure","1.1 (0.5 -- 1.7)","30 (3.2 -- -4.2)"
"AL-União dos Palmares","18 (3 -- 34)","Likely increasing","1.5 (0.6 -- 2.2)","6.6 (2.6 -- -11)"
"AL-Viçosa","6 (0 -- 10)","Unsure","1.3 (0.5 -- 2)","11 (2.5 -- -4.9)"
