"Region","New confirmed cases by infection date","Expected change in daily cases","Effective reproduction no.","Doubling/halving time (days)"
"BA-Alagoinhas","88 (68 -- 102)","Likely increasing","1.2 (1 -- 1.4)","15 (7.8 -- -180000)"
"BA-Araci","16 (8 -- 22)","Unsure","1.2 (0.8 -- 1.6)","14 (4.5 -- -11)"
"BA-Barreiras","76 (61 -- 93)","Unsure","1.1 (0.9 -- 1.2)","51 (12 -- -23)"
"BA-Brumado","17 (8 -- 25)","Unsure","1.1 (0.7 -- 1.5)","25 (5.2 -- -8.7)"
"BA-Camacan","18 (10 -- 25)","Unsure","1 (0.7 -- 1.2)","-38 (9.5 -- -6.2)"
"BA-Camaçari","58 (41 -- 69)","Unsure","1 (0.8 -- 1.1)","-64 (18 -- -11)"
"BA-Camamu","13 (5 -- 20)","Unsure","0.9 (0.5 -- 1.2)","-17 (10 -- -4.7)"
"BA-Campo Formoso","15 (6 -- 21)","Unsure","1 (0.7 -- 1.4)","-1100 (6.9 -- -6.4)"
"BA-Candeias","17 (9 -- 23)","Unsure","0.9 (0.6 -- 1.2)","-31 (9.5 -- -6)"
"BA-Capim Grosso","23 (14 -- 32)","Likely increasing","1.2 (0.8 -- 1.5)","16 (5.3 -- -16)"
"BA-Catu","21 (12 -- 29)","Unsure","1 (0.7 -- 1.3)","470 (8.1 -- -8.4)"
"BA-Conceição da Feira","10 (2 -- 16)","Unsure","1 (0.5 -- 1.5)","-420 (4.8 -- -4.8)"
"BA-Conceição do Coité","19 (10 -- 25)","Likely decreasing","0.8 (0.6 -- 1.1)","-14 (19 -- -5.3)"
"BA-Conceição do Jacuípe","8 (2 -- 13)","Unsure","1.3 (0.6 -- 1.8)","11 (3.2 -- -7.3)"
"BA-Cruz das Almas","11 (3 -- 16)","Unsure","1.1 (0.7 -- 1.5)","310 (5.5 -- -5.7)"
"BA-Dário Meira","16 (8 -- 23)","Unsure","1 (0.7 -- 1.4)","-4700 (6.9 -- -6.7)"
"BA-Dias d'Ávila","16 (7 -- 22)","Unsure","1.1 (0.7 -- 1.5)","28 (5.2 -- -8.2)"
"BA-Eunápolis","27 (16 -- 36)","Unsure","0.9 (0.7 -- 1.1)","-26 (15 -- -6.8)"
"BA-Feira de Santana","106 (87 -- 122)","Likely decreasing","0.9 (0.8 -- 1)","-30 (53 -- -12)"
"BA-Gandu","9 (3 -- 15)","Likely decreasing","0.8 (0.4 -- 1.1)","-8.5 (20 -- -3.5)"
"BA-Ibicaraí","12 (3 -- 19)","Likely increasing","1.3 (0.7 -- 1.9)","10 (3.4 -- -10)"
"BA-Ibicuí","20 (11 -- 27)","Likely increasing","1.2 (0.9 -- 1.6)","16 (5.1 -- -14)"
"BA-Ibirapitanga","18 (10 -- 26)","Likely increasing","1.3 (0.9 -- 1.7)","11 (4.2 -- -17)"
"BA-Ibirataia","19 (9 -- 26)","Unsure","1 (0.7 -- 1.3)","-100 (8.2 -- -7.2)"
"BA-Iguaí","11 (4 -- 18)","Likely increasing","1.5 (0.8 -- 2.1)","5.9 (2.5 -- -16)"
"BA-Ilhéus","112 (91 -- 131)","Increasing","1.2 (1 -- 1.3)","18 (8.9 -- -1500)"
"BA-Ipiaú","16 (8 -- 23)","Likely decreasing","0.8 (0.5 -- 1.1)","-12 (21 -- -4.6)"
"BA-Irará","15 (6 -- 21)","Unsure","1 (0.6 -- 1.3)","-32 (9.7 -- -6)"
"BA-Irecê","23 (13 -- 31)","Unsure","1.2 (0.8 -- 1.5)","16 (5.3 -- -15)"
"BA-Itabela","17 (8 -- 25)","Unsure","1 (0.6 -- 1.3)","-37 (9.1 -- -6.2)"
"BA-Itaberaba","34 (22 -- 44)","Unsure","1 (0.8 -- 1.2)","-89 (12 -- -9.3)"
"BA-Itabuna","118 (99 -- 136)","Unsure","1 (0.9 -- 1.1)","13000 (20 -- -20)"
"BA-Itajuípe","13 (6 -- 20)","Unsure","1 (0.7 -- 1.4)","-78 (7.3 -- -6)"
"BA-Itamaraju","27 (16 -- 35)","Unsure","0.9 (0.7 -- 1.1)","-18 (19 -- -6.2)"
"BA-Itanhém","21 (12 -- 30)","Increasing","1.8 (1.2 -- 2.4)","3.8 (2.3 -- 11)"
"BA-Itapetinga","30 (19 -- 39)","Unsure","1.1 (0.9 -- 1.4)","28 (6.9 -- -14)"
"BA-Itapicuru","18 (8 -- 25)","Unsure","1 (0.7 -- 1.3)","-34 (9.8 -- -6.3)"
"BA-Ituberá","12 (4 -- 18)","Unsure","1.2 (0.7 -- 1.7)","15 (4.1 -- -9)"
"BA-Jacobina","16 (7 -- 25)","Increasing","1.5 (0.9 -- 2.1)","5.5 (2.8 -- 310)"
"BA-Jaguaquara","34 (22 -- 43)","Likely increasing","1.2 (0.9 -- 1.5)","13 (5.6 -- -34)"
"BA-Jequié","99 (80 -- 115)","Likely increasing","1.1 (0.9 -- 1.2)","31 (11 -- -39)"
"BA-Juazeiro","62 (49 -- 76)","Likely decreasing","0.9 (0.8 -- 1.1)","-36 (26 -- -11)"
"BA-Lauro de Freitas","64 (48 -- 76)","Unsure","1.1 (0.9 -- 1.3)","43 (11 -- -21)"
"BA-Luís Eduardo Magalhães","50 (38 -- 62)","Unsure","1 (0.8 -- 1.2)","-110 (15 -- -12)"
"BA-Madre de Deus","23 (13 -- 32)","Likely increasing","1.3 (0.9 -- 1.7)","8.8 (4 -- -37)"
"BA-Maragogipe","18 (10 -- 25)","Unsure","1.1 (0.8 -- 1.5)","39 (6.2 -- -8.8)"
"BA-Mata de São João","11 (4 -- 17)","Unsure","1.2 (0.7 -- 1.7)","18 (4 -- -7)"
"BA-Medeiros Neto","15 (8 -- 22)","Unsure","1 (0.7 -- 1.4)","87 (6.3 -- -7.4)"
"BA-Mucuri","8 (1 -- 13)","Unsure","1.1 (0.5 -- 1.6)","30 (3.8 -- -5.2)"
"BA-Paulo Afonso","12 (4 -- 18)","Unsure","1.1 (0.7 -- 1.6)","25 (4.6 -- -7.4)"
"BA-Pindobaçu","17 (10 -- 25)","Likely decreasing","0.8 (0.5 -- 1.1)","-12 (24 -- -4.9)"
"BA-Poções","16 (8 -- 23)","Likely increasing","1.2 (0.8 -- 1.7)","11 (3.9 -- -14)"
"BA-Pojuca","11 (4 -- 18)","Unsure","1.1 (0.6 -- 1.5)","71 (5.4 -- -6.3)"
"BA-Porto Seguro","31 (21 -- 40)","Unsure","0.9 (0.7 -- 1.1)","-32 (16 -- -7.9)"
"BA-Presidente Tancredo Neves","13 (6 -- 20)","Unsure","1 (0.6 -- 1.3)","-80 (6.7 -- -5.8)"
"BA-Ribeira do Pombal","16 (7 -- 23)","Likely increasing","1.2 (0.8 -- 1.6)","14 (4.5 -- -11)"
"BA-Salinas da Margarida","70 (51 -- 87)","Increasing","1.6 (1.2 -- 2)","4.7 (3.2 -- 8.7)"
"BA-Salvador","731 (664 -- 797)","Unsure","1 (1 -- 1.1)","300 (39 -- -51)"
"BA-Santa Cruz Cabrália","12 (5 -- 18)","Unsure","1.1 (0.7 -- 1.6)","24 (4.7 -- -7.8)"
"BA-Santo Amaro","16 (8 -- 22)","Unsure","1.2 (0.7 -- 1.5)","22 (5.1 -- -9.8)"
