region,date,median,lower_90,upper_90,lower_50,upper_50,confidence
SE-Aquidabã,2020-02-27,1,1,1,1,1,1
SE-Aquidabã,2020-02-28,0.5,0,1,0,1,1
SE-Aquidabã,2020-02-29,1,0,1,1,1,1
SE-Aquidabã,2020-03-01,0,0,1,0,0,1
SE-Aquidabã,2020-03-02,0.5,0,1,0,1,1
SE-Aquidabã,2020-03-03,0,0,0,0,0,1
SE-Aquidabã,2020-03-04,0,0,1,0,0,1
SE-Aquidabã,2020-03-05,0,0,0,0,0,1
SE-Aquidabã,2020-03-06,0,0,1,0,0,1
SE-Aquidabã,2020-03-07,0,0,1,0,0,1
SE-Aquidabã,2020-03-08,0,0,0,0,0,1
SE-Aquidabã,2020-03-09,0,0,0,0,0,1
SE-Aquidabã,2020-03-10,0,0,1,0,0,1
SE-Aquidabã,2020-03-11,0,0,1,0,0,1
SE-Aquidabã,2020-03-12,0,0,0,0,0,1
SE-Aquidabã,2020-03-13,0,0,1,0,0,1
SE-Aquidabã,2020-03-14,0,0,0,0,0,1
SE-Aquidabã,2020-03-15,0,0,0,0,0,1
SE-Aquidabã,2020-03-16,0,0,1,0,0,1
SE-Aquidabã,2020-03-17,0,0,0,0,0,1
SE-Aquidabã,2020-03-18,0,0,1,0,0,1
SE-Aquidabã,2020-03-19,0,0,1,0,0,1
SE-Aquidabã,2020-03-20,0,0,0,0,0,1
SE-Aquidabã,2020-03-21,0,0,1,0,0,1
SE-Aquidabã,2020-03-22,0,0,1,0,0,1
SE-Aquidabã,2020-03-23,0,0,1,0,0,1
SE-Aquidabã,2020-03-24,0,0,1,0,0,1
SE-Aquidabã,2020-03-25,0,0,1,0,0,1
SE-Aquidabã,2020-03-26,0,0,1,0,0,1
SE-Aquidabã,2020-03-27,0,0,1,0,0,1
SE-Aquidabã,2020-03-28,0,0,1,0,0,1
SE-Aquidabã,2020-03-29,0,0,1,0,0,1
SE-Aquidabã,2020-03-30,0,0,1,0,0,1
SE-Aquidabã,2020-03-31,0,0,1,0,0,1
SE-Aquidabã,2020-04-01,0,0,1,0,0,1
SE-Aquidabã,2020-04-02,0,0,1,0,0,1
SE-Aquidabã,2020-04-03,0,0,1,0,0,1
SE-Aquidabã,2020-04-04,0,0,1,0,0,1
SE-Aquidabã,2020-04-05,0,0,1,0,0,1
SE-Aquidabã,2020-04-06,0,0,1,0,0,1
SE-Aquidabã,2020-04-07,0,0,1,0,0,1
SE-Aquidabã,2020-04-08,0,0,1,0,0,1
SE-Aquidabã,2020-04-09,0,0,1,0,0,1
SE-Aquidabã,2020-04-10,0,0,1,0,0,1
SE-Aquidabã,2020-04-11,0,0,1,0,0,1
SE-Aquidabã,2020-04-12,0,0,1,0,0,1
SE-Aquidabã,2020-04-13,0,0,1,0,0,1
SE-Aquidabã,2020-04-14,0,0,1,0,0,1
SE-Aquidabã,2020-04-15,0,0,1,0,0,1
SE-Aquidabã,2020-04-16,0,0,1,0,0,1
SE-Aquidabã,2020-04-17,0,0,1,0,0,1
SE-Aquidabã,2020-04-18,0,0,1,0,0,1
SE-Aquidabã,2020-04-19,0,0,1,0,0,1
SE-Aquidabã,2020-04-20,0,0,1,0,0,1
SE-Aquidabã,2020-04-21,0,0,1,0,0,1
SE-Aquidabã,2020-04-22,0,0,1,0,0,1
SE-Aquidabã,2020-04-23,0,0,1,0,0,1
SE-Aquidabã,2020-04-24,0,0,1,0,0,1
SE-Aquidabã,2020-04-25,0,0,2,0,0,1
SE-Aquidabã,2020-04-26,0,0,1,0,0,1
SE-Aquidabã,2020-04-27,0,0,1,0,0,1
SE-Aquidabã,2020-04-28,0,0,2,0,0,1
SE-Aquidabã,2020-04-29,0,0,2,0,0,1
SE-Aquidabã,2020-04-30,0,0,2,0,0,1
SE-Aquidabã,2020-05-01,1,0,2,0,1,1
SE-Aquidabã,2020-05-02,0,0,2,0,0,1
SE-Aquidabã,2020-05-03,0,0,2,0,0,1
SE-Aquidabã,2020-05-04,0,0,2,0,0,1
SE-Aquidabã,2020-05-05,1,0,2,0,1,1
SE-Aquidabã,2020-05-06,1,0,2,0,1,1
SE-Aquidabã,2020-05-07,1,0,2,0,1,1
SE-Aquidabã,2020-05-08,1,0,2,0,1,1
SE-Aquidabã,2020-05-09,1,0,3,0,1,1
SE-Aquidabã,2020-05-10,1,0,3,0,1,1
SE-Aquidabã,2020-05-11,1,0,3,0,1,1
SE-Aquidabã,2020-05-12,1,0,3,0,1,1
SE-Aquidabã,2020-05-13,1,0,3,0,1,1
SE-Aquidabã,2020-05-14,1,0,3,0,1,1
SE-Aquidabã,2020-05-15,1,0,2,0,1,1
SE-Aquidabã,2020-05-16,1,0,3,0,1,1
SE-Aquidabã,2020-05-17,1,0,3,0,1,1
SE-Aquidabã,2020-05-18,1,0,3,0,1,1
SE-Aquidabã,2020-05-19,1,0,3,0,1,1
SE-Aquidabã,2020-05-20,1,0,4,0,1,1
SE-Aquidabã,2020-05-21,1,0,3,0,1,1
SE-Aquidabã,2020-05-22,1,0,3,0,1,1
SE-Aquidabã,2020-05-23,1,0,3,0,1,1
SE-Aquidabã,2020-05-24,2,0,4,1,2,1
SE-Aquidabã,2020-05-25,2,0,4,1,2,1
SE-Aquidabã,2020-05-26,2,0,4,1,2,1
SE-Aquidabã,2020-05-27,2,0,4,1,2,1
SE-Aquidabã,2020-05-28,2,0,4,1,2,1
SE-Aquidabã,2020-05-29,2,0,4,1,2,1
SE-Aquidabã,2020-05-30,3,1,5,1,3,1
SE-Aquidabã,2020-05-31,3,0,6,1,3,1
SE-Aquidabã,2020-06-01,2,0,5,2,3,1
SE-Aquidabã,2020-06-02,3,0,5,2,3,1
SE-Aquidabã,2020-06-03,3,0,5,2,3,1
SE-Aquidabã,2020-06-04,3.5,1,6,2,4,1
SE-Aquidabã,2020-06-05,4,1,7,2,4,1
SE-Aquidabã,2020-06-06,3,0,7,0,3,1
SE-Aquidabã,2020-06-07,4,1,7,1,4,1
SE-Aquidabã,2020-06-08,4,1,7,2,4,1
SE-Aquidabã,2020-06-09,5,1,8,3,5,1
SE-Aquidabã,2020-06-10,4,2,8,3,5,1
SE-Aquidabã,2020-06-11,5,2,9,3,5,1
SE-Aquidabã,2020-06-12,5,1,9,3,6,1
SE-Aquidabã,2020-06-13,5,1,9,2,5,1
SE-Aquidabã,2020-06-14,6,2,10,3,6,1
SE-Aquidabã,2020-06-15,5.5,3,10,4,6,1
SE-Aquidabã,2020-06-16,6,2,10,3,6,1
SE-Aquidabã,2020-06-17,7,2,10,4,7,0.99
SE-Aquidabã,2020-06-18,7,3,12,4,7,0.99
SE-Aquidabã,2020-06-19,8,3,10,5,8,0.99
SE-Aquidabã,2020-06-20,7,4,12,5,8,0.99
SE-Aquidabã,2020-06-21,8,4,12,6,9,0.99
SE-Aquidabã,2020-06-22,8,4,13,4,8,0.99
SE-Aquidabã,2020-06-23,8.5,4,13,7,10,0.99
SE-Aquidabã,2020-06-24,8,4,14,5,9,0.99
SE-Aquidabã,2020-06-25,9,6,14,9,12,0.99
SE-Aquidabã,2020-06-26,9,5,13,7,10,0.99
SE-Aquidabã,2020-06-27,9,5,15,5,9,0.99
SE-Aquidabã,2020-06-28,9,4,13,6,9,0.99
SE-Aquidabã,2020-06-29,10,5,14,9,12,0.99
SE-Aquidabã,2020-06-30,9,5,14,5,9,0.99
SE-Aquidabã,2020-07-01,9,5,13,6,9,0.98
SE-Aquidabã,2020-07-02,9,5,13,5,9,0.98
SE-Aquidabã,2020-07-03,9,3,12,7,10,0.98
SE-Aquidabã,2020-07-04,9,4,14,5,9,0.98
SE-Aquidabã,2020-07-05,9,6,14,7,10,0.98
SE-Aquidabã,2020-07-06,9,5,13,8,11,0.98
SE-Aquidabã,2020-07-07,8,5,13,6,9,0.97
SE-Aquidabã,2020-07-08,8,4,13,6,9,0.97
SE-Aquidabã,2020-07-09,8,3,11,6,9,0.97
SE-Aquidabã,2020-07-10,8,4,12,5,8,0.97
SE-Aquidabã,2020-07-11,8,3,11,5,8,0.96
SE-Aquidabã,2020-07-12,7,4,12,6,9,0.96
SE-Aquidabã,2020-07-13,8,4,12,6,9,0.96
SE-Aquidabã,2020-07-14,7,2,11,3,7,0.96
SE-Aquidabã,2020-07-15,7,3,11,6,9,0.95
SE-Aquidabã,2020-07-16,8,3,11,6,9,0.95
SE-Aquidabã,2020-07-17,7,4,11,5,8,0.94
