"Region","New confirmed cases by infection date","Expected change in daily cases","Effective reproduction no.","Doubling/halving time (days)"
"SE-Aquidabã","6 (1 -- 10)","Unsure","0.9 (0.4 -- 1.4)","-32 (4.5 -- -3.5)"
"SE-Aracaju","115 (89 -- 140)","Likely decreasing","0.9 (0.8 -- 1)","-43 (33 -- -13)"
"SE-Areia Branca","7 (1 -- 12)","Unsure","1.2 (0.6 -- 1.8)","14 (3.1 -- -5.6)"
"SE-Barra dos Coqueiros","10 (3 -- 15)","Unsure","1.3 (0.7 -- 1.8)","12 (3.2 -- -6.9)"
"SE-Boquim","8 (3 -- 11)","Unsure","1.1 (0.6 -- 1.5)","82 (4.6 -- -5.2)"
"SE-Campo do Brito","13 (5 -- 18)","Unsure","1.1 (0.6 -- 1.4)","61 (5.6 -- -6.6)"
"SE-Canhoba","3 (0 -- 6)","Unsure","1.5 (0.4 -- 2.5)","7.2 (1.8 -- -3.3)"
"SE-Canindé de São Francisco","7 (1 -- 11)","Unsure","1.2 (0.5 -- 1.9)","36 (3.7 -- -4.3)"
"SE-Carira","7 (2 -- 11)","Unsure","1.1 (0.6 -- 1.6)","28 (3.4 -- -4.6)"
"SE-Cedro de São João","7 (3 -- 11)","Likely increasing","1.4 (0.7 -- 2)","8.7 (2.7 -- -5.7)"
"SE-Estância","10 (4 -- 16)","Decreasing","0.6 (0.4 -- 0.9)","-6.6 (-96 -- -3.4)"
"SE-Frei Paulo","5 (0 -- 9)","Unsure","1 (0.4 -- 1.6)","-51 (3.7 -- -3.2)"
"SE-General Maynard","5 (0 -- 10)","Unsure","1.3 (0.4 -- 2.3)","12 (2.2 -- -3.5)"
"SE-Itabaiana","32 (20 -- 43)","Unsure","0.9 (0.7 -- 1.2)","42 (7.1 -- -12)"
"SE-Itabaianinha","7 (2 -- 12)","Unsure","0.9 (0.5 -- 1.3)","-17 (6.6 -- -3.8)"
"SE-Itaporanga d'Ajuda","10 (3 -- 15)","Unsure","1.1 (0.6 -- 1.6)","20 (3.9 -- -6.9)"
"SE-Lagarto","24 (13 -- 35)","Likely decreasing","0.8 (0.6 -- 1)","-13 (25 -- -5.2)"
"SE-Macambira","4 (0 -- 8)","Unsure","1.3 (0.4 -- 2.3)","12 (2 -- -2.8)"
"SE-Malhador","6 (2 -- 11)","Unsure","1.1 (0.5 -- 1.6)","-79 (4.1 -- -3.7)"
"SE-Moita Bonita","9 (4 -- 16)","Unsure","1 (0.5 -- 1.5)","120 (4.5 -- -5.2)"
"SE-Neópolis","5 (0 -- 8)","Unsure","1.3 (0.5 -- 2.1)","12 (2.4 -- -3.8)"
"SE-Nossa Senhora da Glória","14 (7 -- 20)","Unsure","1.1 (0.7 -- 1.6)","17 (4.4 -- -9.2)"
"SE-Nossa Senhora das Dores","9 (3 -- 15)","Unsure","1.1 (0.4 -- 1.6)","23 (3.7 -- -5.5)"
"SE-Nossa Senhora do Socorro","15 (8 -- 22)","Unsure","1 (0.7 -- 1.3)","-43 (7.3 -- -5.4)"
"SE-Poço Verde","7 (1 -- 11)","Unsure","1.3 (0.6 -- 2)","15 (2.9 -- -4.4)"
"SE-Porto da Folha","7 (1 -- 11)","Unsure","1 (0.5 -- 1.6)","-80 (4.2 -- -3.8)"
"SE-Propriá","5 (0 -- 9)","Unsure","0.9 (0.3 -- 1.4)","-26 (4.2 -- -3.3)"
"SE-Riachão do Dantas","4 (0 -- 7)","Unsure","1.2 (0.4 -- 2.1)","11 (2.3 -- -4)"
"SE-Ribeirópolis","9 (3 -- 14)","Unsure","1 (0.6 -- 1.5)","130 (4.5 -- -4.9)"
"SE-São Cristóvão","11 (4 -- 16)","Unsure","1 (0.7 -- 1.5)","110 (5.2 -- -5.5)"
"SE-São Domingos","5 (1 -- 10)","Unsure","1.2 (0.4 -- 1.8)","58 (3.2 -- -3.7)"
"SE-Simão Dias","12 (5 -- 19)","Unsure","1 (0.6 -- 1.5)","170 (5.4 -- -6.2)"
"SE-Siriri","5 (1 -- 8)","Unsure","1 (0.5 -- 1.7)","-130 (4 -- -3.6)"
"SE-Tobias Barreto","13 (6 -- 19)","Likely decreasing","0.8 (0.5 -- 1.2)","-57 (6.7 -- -5.6)"
"SE-Tomar do Geru","3 (0 -- 7)","Unsure","1.6 (0.4 -- 2.7)","5.3 (1.4 -- -3.7)"
