"date","type","bottom","top","lower","upper","median","mean"
2020-02-12,"nowcast",1,1,1,1,1,1
2020-02-13,"nowcast",0,0,0,0,0,0
2020-02-14,"nowcast",0,1,1,1,1,0.666666666666667
2020-02-15,"nowcast",0,1,0,0,0,0.4
2020-02-16,"nowcast",0,1,0,0,0,0.2
2020-02-17,"nowcast",0,1,0,0,0,0.166666666666667
2020-02-18,"nowcast",0,1,0,0,0,0.25
2020-02-19,"nowcast",0,1,0,0,0,0.222222222222222
2020-02-20,"nowcast",0,1,1,1,1,0.571428571428571
2020-02-21,"nowcast",0,1,0,0,0,0.416666666666667
2020-02-22,"nowcast",0,1,0,0,0,0.382352941176471
2020-02-23,"nowcast",0,1,0,0,0,0.153846153846154
2020-02-24,"nowcast",0,1,0,0,0,0.484375
2020-02-25,"nowcast",0,1,0,0,0,0.365853658536585
2020-02-26,"nowcast",0,1,0,0,0,0.349056603773585
2020-02-27,"nowcast",0,1,0,0,0,0.39041095890411
2020-02-28,"nowcast",0,1,0,0,0,0.327683615819209
2020-02-29,"nowcast",0,1,0,0,0,0.431623931623932
2020-03-01,"nowcast",0,1,0,0,0,0.386524822695035
2020-03-02,"nowcast",0,1,0,0,0,0.45
2020-03-03,"nowcast",0,1,0,0,0,0.425925925925926
2020-03-04,"nowcast",0,1,0,0,0,0.491089108910891
2020-03-05,"nowcast",0,1,0,0,0,0.550847457627119
2020-03-06,"nowcast",0,2,0,0,0,0.614457831325301
2020-03-07,"nowcast",0,2,0,1,1,0.726530612244898
2020-03-08,"nowcast",0,2,0,1,1,0.839108910891089
2020-03-09,"nowcast",0,2,0,1,1,0.979498861047836
2020-03-10,"nowcast",0,3,0,1,1,1.13217768147346
2020-03-11,"nowcast",0,3,0,1,1,1.36842105263158
2020-03-12,"nowcast",0,4,0,1,1,1.79055441478439
2020-03-13,"nowcast",0,4,1,2,2,2.16246215943491
2020-03-14,"nowcast",0,5,0,2,2,2.67002012072435
2020-03-15,"nowcast",0,6,1,3,3,3.26653306613226
2020-03-16,"nowcast",0,7,1,4,4,4.034
2020-03-17,"nowcast",1,9,2,5,5,4.984
2020-03-18,"nowcast",1,10,3,6,6,6.016
2020-03-19,"nowcast",2,12,3,7,7,7.249
2020-03-20,"nowcast",3,14,5,9,8,8.673
2020-03-21,"nowcast",4,16,6,11,10,10.416
2020-03-22,"nowcast",6,19,8,13,12,12.338
2020-03-23,"nowcast",6,21,11,16,14,14.281
2020-03-24,"nowcast",8,24,12,18,16,16.782
2020-03-25,"nowcast",10,28,13,20,19,19.183
2020-03-26,"nowcast",11,30,17,24,21,21.755
2020-03-27,"nowcast",14,33,17,25,24,24.21
2020-03-28,"nowcast",15,37,19,28,26,27.16
2020-03-29,"nowcast",18,41,24,33,31,30.865
2020-03-30,"nowcast",22,47,25,36,34,34.557
2020-03-31,"nowcast",25,51,31,41,38,38.537
2020-04-01,"nowcast",29,57,34,46,43,43.027
2020-04-02,"nowcast",33,62,42,53,48,48.471
2020-04-03,"nowcast",36,68,43,56,53.5,53.627
2020-04-04,"nowcast",41,73,47,61,59,59.051
2020-04-05,"nowcast",47,82,55,68,65,65.102
2020-04-06,"nowcast",51,87,60,74,70,70.894
2020-04-07,"nowcast",59,94,70,83,77,77.755
2020-04-08,"nowcast",65,103,76,91,85,85.457
