"type","date","rt_type","bottom","top","lower","upper","median","mean","std"
"nowcast",2020-06-28,"forecast",101,194,121,158,144,146.1792,29.6421527356527
"nowcast",2020-06-29,"forecast",100,220,124,171,158,161.495,38.6960185467481
"nowcast",2020-06-30,"forecast",103,257,132,192,172,178.4432,50.2751737180338
"nowcast",2020-07-01,"forecast",98,287,141,212,188,197.3134,63.2258418833342
"nowcast",2020-07-02,"forecast",98,330,149,238,208,219.5802,82.1477134028907
"nowcast",2020-07-03,"forecast",101,388,147,255,228,245.3748,103.95607965992
"nowcast",2020-07-04,"forecast",109,455,161,289,249,275.0898,132.673113202915
"nowcast",2020-07-05,"forecast",106,529,171,319,275,309.9028,172.564488388227
"nowcast",2020-07-06,"forecast",93,607,170,349,304,352.7788,228.131795885227
"nowcast",2020-07-07,"forecast",84,695,159,368,330,398.5168,338.875352037595
"nowcast",2020-07-08,"forecast",73,827,167,410,363,461.7494,454.45758761344
"nowcast",2020-07-09,"forecast",71,985,192,470,397,532.5586,643.031316516423
"nowcast",2020-07-10,"forecast",74,1189,198,511,440,622.179,953.15848061948
"nowcast",2020-07-11,"forecast",0,1329,167,529,477.5,732.6968,1343.27320164165
