"date","type","bottom","top","lower","upper","median","mean","rt_type"
2020-02-09,"nowcast",1,1,1,1,1,1,NA
2020-02-10,"nowcast",0,1,0,1,0.5,0.5,NA
2020-02-11,"nowcast",0,0,0,0,0,0,NA
2020-02-12,"nowcast",0,0,0,0,0,0,NA
2020-02-13,"nowcast",0,0,0,0,0,0,NA
2020-02-14,"nowcast",0,1,0,1,0.5,0.5,NA
2020-02-15,"nowcast",0,1,0,0,0,0.25,NA
2020-02-16,"nowcast",0,1,0,0,0,0.333333333333333,NA
2020-02-17,"nowcast",0,1,0,0,0,0.454545454545455,NA
2020-02-18,"nowcast",0,1,0,0,0,0.470588235294118,NA
2020-02-19,"nowcast",0,1,0,0,0,0.285714285714286,NA
2020-02-20,"nowcast",0,1,0,0,0,0.46875,NA
2020-02-21,"nowcast",0,1,0,0,0,0.333333333333333,NA
2020-02-22,"nowcast",0,1,0,0,0,0.272727272727273,NA
2020-02-23,"nowcast",0,1,0,0,0,0.347222222222222,NA
2020-02-24,"nowcast",0,1,0,0,0,0.329896907216495,NA
2020-02-25,"nowcast",0,1,0,0,0,0.360655737704918,NA
2020-02-26,"nowcast",0,1,0,0,0,0.35031847133758,NA
2020-02-27,"nowcast",0,1,0,0,0,0.254054054054054,NA
2020-02-28,"nowcast",0,1,0,0,0,0.399159663865546,NA
2020-02-29,"nowcast",0,1,0,0,0,0.385416666666667,NA
2020-03-01,"nowcast",0,1,0,0,0,0.413793103448276,NA
2020-03-02,"nowcast",0,1,0,0,0,0.461538461538462,NA
2020-03-03,"nowcast",0,1,0,0,0,0.426294820717131,NA
2020-03-04,"nowcast",0,1,0,0,0,0.493031358885017,NA
2020-03-05,"nowcast",0,2,0,0,0,0.592649310872894,NA
2020-03-06,"nowcast",0,2,0,0,0,0.636863823933975,NA
2020-03-07,"nowcast",0,2,0,0,0,0.659600997506234,NA
2020-03-08,"nowcast",0,2,0,1,1,0.79837775202781,NA
2020-03-09,"nowcast",0,2,0,1,1,0.971615720524017,NA
2020-03-10,"nowcast",0,3,0,1,1,1.11623036649215,NA
2020-03-11,"nowcast",0,3,0,1,1,1.34867075664622,NA
2020-03-12,"nowcast",0,4,0,1,1,1.67875125881168,NA
2020-03-13,"nowcast",0,4,1,2,2,2.0784708249497,NA
2020-03-14,"nowcast",0,5,0,2,2,2.54554554554555,NA
2020-03-15,"nowcast",0,6,1,3,3,3.072,NA
2020-03-16,"nowcast",0,6,2,4,3,3.67,NA
2020-03-17,"nowcast",1,7,3,5,4,4.31,NA
2020-03-18,"nowcast",1,8,4,6,5,5.018,NA
2020-03-19,"nowcast",1,9,3,6,6,5.934,NA
2020-03-20,"nowcast",2,10,4,7,7,6.745,NA
2020-03-21,"nowcast",2,11,6,9,7,7.573,NA
2020-03-22,"nowcast",3,12,6,9,8,8.178,NA
2020-03-23,"nowcast",4,13,7,10,9,8.798,NA
2020-03-24,"nowcast",4,13,7,10,9,9.155,NA
2020-03-25,"nowcast",5,14,8,11,9,9.486,NA
2020-03-26,"nowcast",5,14,6,10,9,9.575,NA
2020-03-27,"nowcast",5,14,8,11,9,9.71,NA
2020-03-28,"nowcast",5,14,6,10,9,9.496,NA
2020-03-29,"nowcast",5,14,8,11,10,9.848,NA
2020-03-30,"nowcast",5,15,6,10,10,9.985,NA
2020-03-31,"nowcast",4,14,6,10,9,9.726,NA
2020-04-01,"nowcast",5,15,6,10,10,9.853,NA
2020-04-02,"nowcast",5,15,6,10,10,10.03,NA
2020-04-03,"nowcast",5,16,8,12,11,11.028,NA
2020-04-04,"nowcast",6,17,8,12,12,11.948,NA
2020-04-05,"nowcast",7,19,10,14,13,13.293,NA
2020-04-06,"nowcast",7,20,11,16,15,14.907,NA
2020-04-07,"nowcast",10,23,13,18,16,16.478,NA
2020-04-08,"nowcast",11,24,14,19,18,17.966,NA
2020-04-09,"nowcast",12,26,16,21,19,19.492,NA
2020-04-10,"nowcast",13,27,15,21,20,20.747,NA
2020-04-11,"nowcast",15,29,17,23,22,21.813,NA
2020-04-12,"nowcast",13,29,18,24,23,23.201,NA
2020-04-13,"nowcast",16,32,20,26,24,24.412,NA
2020-04-14,"nowcast",16,32,21,27,25,25.091,NA
2020-04-15,"nowcast",18,34,22,28,26,26.343,NA
2020-04-16,"nowcast",18,35,22,29,27,27.303,NA
2020-04-17,"nowcast",20,38,24,31,28,28.481,NA
2020-04-18,"nowcast",21,39,25,32,30,30.456,NA
2020-04-19,"nowcast",21,40,28,35,32,32.11,NA
2020-04-20,"nowcast",23,42,29,36,34,34.119,NA
2020-04-21,"nowcast",27,46,30,38,36,35.874,NA
2020-04-22,"nowcast",27,47,31,39,37.5,37.716,NA
2020-04-23,"nowcast",29,48,33,41,39,39.201,NA
2020-04-24,"nowcast",29,49,36,43,40,40.268,NA
2020-04-25,"nowcast",31,52,33,42,41,40.637,NA
2020-04-26,"nowcast",30,50,34,42,40,40.498,NA
2020-04-27,"nowcast",29,50,34,42,40,39.974,NA
2020-04-28,"nowcast",30,51,34,42,39,39.855,NA
2020-04-29,"nowcast",29,52,37,45,41,41.215,NA
2020-04-30,"nowcast",33,57,39,48,44,44.293,NA
2020-05-01,"nowcast",32,59,40,50,47,47.41,NA
2020-05-02,"nowcast",39,66,45,55,52,52.309,NA
2020-05-03,"nowcast",40,69,49,60,56,56.395,NA
2020-05-04,"nowcast",44,73,53,64,61,60.569,NA
2020-05-05,"nowcast",49,79,58,69,65,65.402,NA
2020-05-06,"nowcast",55,85,64,76,70,70.152,NA
2020-05-07,"nowcast",59,90,69,81,76,75.901,NA
2020-05-08,"nowcast",64,96,72,85,81,80.981,NA
2020-05-09,"nowcast",68,100,76,89,85,85.331,NA
2020-05-10,"nowcast",73,105,81,94,89,89.528,NA
2020-05-11,"nowcast",76,108,83,96,92,92.011,NA
2020-05-12,"nowcast",78,112,89,103,95,95.529,NA
2020-05-13,"nowcast",81,116,90,104,99.5,99.661,NA
2020-05-14,"nowcast",86,122,96,110,104,103.986,NA
2020-05-15,"nowcast",90,127,100,115,109,109.746,NA
2020-05-16,"nowcast",95,134,105,121,115,115.262,NA
2020-05-17,"nowcast",99,139,107,124,121,120.841,NA
2020-05-18,"nowcast",106,148,116,133,127,127.717,NA
