"date","type","bottom","top","lower","upper","median","mean","rt_type"
2020-02-13,"nowcast",1,1,1,1,1,1,NA
2020-02-14,"nowcast",0,0,0,0,0,0,NA
2020-02-15,"nowcast",0,0,0,0,0,0,NA
2020-02-16,"nowcast",1,1,1,1,1,1,NA
2020-02-17,"nowcast",0,0,0,0,0,0,NA
2020-02-18,"nowcast",0,1,0,1,0.5,0.5,NA
2020-02-19,"nowcast",0,1,0,0,0,0.2,NA
2020-02-20,"nowcast",0,1,0,0,0,0.375,NA
2020-02-21,"nowcast",0,1,0,0,0,0.2,NA
2020-02-22,"nowcast",0,1,0,0,0,0.470588235294118,NA
2020-02-23,"nowcast",0,1,0,0,0,0.166666666666667,NA
2020-02-24,"nowcast",0,1,0,0,0,0.434782608695652,NA
2020-02-25,"nowcast",0,1,0,0,0,0.4,NA
2020-02-26,"nowcast",0,1,0,0,0,0.288888888888889,NA
2020-02-27,"nowcast",0,1,0,0,0,0.163265306122449,NA
2020-02-28,"nowcast",0,1,0,0,0,0.333333333333333,NA
2020-02-29,"nowcast",0,1,0,0,0,0.259259259259259,NA
2020-03-01,"nowcast",0,1,0,0,0,0.37962962962963,NA
2020-03-02,"nowcast",0,1,0,0,0,0.282442748091603,NA
2020-03-03,"nowcast",0,1,0,0,0,0.411428571428571,NA
2020-03-04,"nowcast",0,1,0,0,0,0.324074074074074,NA
2020-03-05,"nowcast",0,1,0,0,0,0.349809885931559,NA
2020-03-06,"nowcast",0,1,0,0,0,0.365325077399381,NA
2020-03-07,"nowcast",0,1,0,0,0,0.365789473684211,NA
2020-03-08,"nowcast",0,1,0,0,0,0.413186813186813,NA
2020-03-09,"nowcast",0,1,0,0,0,0.417132216014898,NA
2020-03-10,"nowcast",0,1,0,0,0,0.488562091503268,NA
2020-03-11,"nowcast",0,1,0,0,0,0.5,NA
2020-03-12,"nowcast",0,2,0,0,0,0.574049803407602,NA
2020-03-13,"nowcast",0,2,0,0,0,0.654589371980676,NA
2020-03-14,"nowcast",0,2,0,1,1,0.740740740740741,NA
2020-03-15,"nowcast",0,2,0,1,1,0.837579617834395,NA
2020-03-16,"nowcast",0,2,0,1,1,0.990683229813665,NA
2020-03-17,"nowcast",0,3,0,1,1,1.15939086294416,NA
2020-03-18,"nowcast",0,3,0,1,1,1.33065326633166,NA
2020-03-19,"nowcast",0,3,0,1,1,1.47294589178357,NA
2020-03-20,"nowcast",0,3,1,2,2,1.709,NA
2020-03-21,"nowcast",0,4,1,2,2,1.92,NA
2020-03-22,"nowcast",0,4,1,2,2,2.1,NA
2020-03-23,"nowcast",0,4,0,2,2,2.175,NA
2020-03-24,"nowcast",0,4,0,2,2,2.298,NA
2020-03-25,"nowcast",0,4,1,2,2,2.146,NA
