"Region","New confirmed cases by infection date","Expected change in daily cases","Effective reproduction no.","Doubling/halving time (days)"
"Acre","130 (98 -- 161)","Unsure","1 (0.8 -- 1.1)","-55 (26 -- -14)"
"Alagoas","453 (369 -- 508)","Decreasing","0.9 (0.8 -- 0.9)","-19 (-41 -- -12)"
"Amapá","194 (159 -- 229)","Unsure","1 (0.9 -- 1.1)","81 (19 -- -33)"
"Amazonas","461 (391 -- 519)","Decreasing","0.9 (0.8 -- 0.9)","-20 (-40 -- -13)"
"Bahia","2452 (2107 -- 2734)","Decreasing","0.9 (0.9 -- 1)","-31 (-54 -- -21)"
"Ceará","916 (776 -- 1024)","Decreasing","0.9 (0.8 -- 1)","-22 (-44 -- -14)"
"Distrito Federal","1584 (1343 -- 1771)","Decreasing","1 (0.9 -- 1)","-86 (270 -- -40)"
"Espirito Santo","765 (650 -- 844)","Decreasing","0.9 (0.9 -- 1)","-24 (-42 -- -16)"
"Goiás","1949 (1696 -- 2201)","Likely decreasing","1 (0.9 -- 1)","-49 (-430 -- -26)"
"Maranhão","906 (758 -- 1038)","Unsure","1 (0.9 -- 1)","-450 (54 -- -42)"
"Mato Grosso","1098 (940 -- 1260)","Likely decreasing","1 (0.9 -- 1)","-45 (-400 -- -24)"
"Mato Grosso do Sul","627 (546 -- 727)","Decreasing","0.9 (0.9 -- 1)","-37 (-180 -- -20)"
"Minas Gerais","2570 (2259 -- 2892)","Decreasing","1 (0.9 -- 1)","-86 (480 -- -40)"
"Pará","1441 (1260 -- 1624)","Unsure","1 (1 -- 1.1)","1000 (58 -- -68)"
"Paraíba","614 (500 -- 704)","Decreasing","0.9 (0.9 -- 1)","-28 (-73 -- -17)"
"Paraná","1611 (1353 -- 1800)","Unsure","1 (0.9 -- 1)","-280 (89 -- -53)"
"Pernambuco","786 (660 -- 896)","Decreasing","0.9 (0.8 -- 1)","-27 (-90 -- -16)"
"Piauí","721 (595 -- 808)","Likely decreasing","1 (0.9 -- 1)","-48 (560 -- -24)"
"Rio de Janeiro","2027 (1766 -- 2322)","Unsure","1 (1 -- 1.1)","34000 (68 -- -62)"
"Rio Grande do Norte","186 (152 -- 216)","Decreasing","0.8 (0.7 -- 0.9)","-11 (-27 -- -6.8)"
"Rio Grande do Sul","1382 (1155 -- 1565)","Decreasing","0.9 (0.9 -- 1)","-22 (-39 -- -16)"
"Rondônia","435 (376 -- 507)","Likely decreasing","0.9 (0.9 -- 1)","-40 (480 -- -19)"
"Roraima","225 (184 -- 267)","Decreasing","0.8 (0.7 -- 0.9)","-10 (-16 -- -7.4)"
"Santa Catarina","1437 (1222 -- 1626)","Decreasing","0.9 (0.8 -- 0.9)","-20 (-31 -- -15)"
"São Paulo","6569 (5700 -- 7342)","Decreasing","0.9 (0.8 -- 0.9)","-16 (-23 -- -13)"
"Sergipe","302 (250 -- 359)","Decreasing","0.9 (0.8 -- 0.9)","-18 (-45 -- -11)"
"Tocantins","729 (606 -- 837)","Unsure","1 (0.9 -- 1)","-170 (62 -- -35)"
