"date","type","bottom","top","lower","upper","median","mean","region"
2020-02-02,"nowcast",1,1,1,1,1,1,"Amazonas"
2020-02-03,"nowcast",0,0,0,0,0,0,"Amazonas"
2020-02-04,"nowcast",0,0,0,0,0,0,"Amazonas"
2020-02-05,"nowcast",0,0,0,0,0,0,"Amazonas"
2020-02-06,"nowcast",0,1,0,1,0.5,0.5,"Amazonas"
2020-02-07,"nowcast",0,1,0,1,0.5,0.5,"Amazonas"
2020-02-08,"nowcast",0,1,0,0,0,0.333333333333333,"Amazonas"
2020-02-09,"nowcast",0,0,0,0,0,0,"Amazonas"
2020-02-10,"nowcast",0,1,0,0,0,0.333333333333333,"Amazonas"
2020-02-11,"nowcast",0,1,0,0,0,0.4375,"Amazonas"
2020-02-12,"nowcast",0,1,0,0,0,0.2,"Amazonas"
2020-02-13,"nowcast",0,1,0,0,0,0.25,"Amazonas"
2020-02-14,"nowcast",0,1,0,0,0,0.258064516129032,"Amazonas"
2020-02-15,"nowcast",0,1,0,0,0,0.44,"Amazonas"
2020-02-16,"nowcast",0,1,0,0,0,0.307692307692308,"Amazonas"
2020-02-17,"nowcast",0,1,0,0,0,0.397727272727273,"Amazonas"
2020-02-18,"nowcast",0,1,0,0,0,0.462809917355372,"Amazonas"
2020-02-19,"nowcast",0,1,0,0,0,0.357142857142857,"Amazonas"
2020-02-20,"nowcast",0,1,0,0,0,0.389423076923077,"Amazonas"
2020-02-21,"nowcast",0,1,0,0,0,0.406130268199234,"Amazonas"
2020-02-22,"nowcast",0,1,0,0,0,0.372670807453416,"Amazonas"
2020-02-23,"nowcast",0,1,0,0,0,0.398936170212766,"Amazonas"
2020-02-24,"nowcast",0,1,0,0,0,0.455531453362256,"Amazonas"
2020-02-25,"nowcast",0,1,0,0,0,0.551851851851852,"Amazonas"
2020-02-26,"nowcast",0,1,0,0,0,0.576862123613312,"Amazonas"
2020-02-27,"nowcast",0,2,0,0,0,0.629526462395543,"Amazonas"
2020-02-28,"nowcast",0,2,0,1,1,0.725765306122449,"Amazonas"
2020-02-29,"nowcast",0,2,0,1,1,0.855971896955503,"Amazonas"
2020-03-01,"nowcast",0,3,0,1,1,1.02564102564103,"Amazonas"
2020-03-02,"nowcast",0,3,0,1,1,1.24491978609626,"Amazonas"
2020-03-03,"nowcast",0,3,0,1,1,1.5207468879668,"Amazonas"
2020-03-04,"nowcast",0,4,1,2,2,1.81586978636826,"Amazonas"
2020-03-05,"nowcast",0,5,0,2,2,2.29048582995951,"Amazonas"
2020-03-06,"nowcast",0,5,0,2,2,2.76582914572864,"Amazonas"
2020-03-07,"nowcast",0,6,1,3,3,3.36108324974925,"Amazonas"
2020-03-08,"nowcast",0,8,1,4,4,4.22745490981964,"Amazonas"
2020-03-09,"nowcast",1,9,2,5,5,5.052,"Amazonas"
2020-03-10,"nowcast",1,10,3,6,6,5.996,"Amazonas"
2020-03-11,"nowcast",2,12,3,7,7,7.23,"Amazonas"
