region,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
PE-Araripina,2020-05-09,nowcast,1.1,0.2,2.1,0.6,1.3,0.43
PE-Araripina,2020-05-10,nowcast,1.1,0.2,2,0.7,1.3,0.44
PE-Araripina,2020-05-11,nowcast,1.1,0.2,2.1,0.7,1.4,0.43
PE-Araripina,2020-05-12,nowcast,1.2,0.3,2.2,0.7,1.4,0.38
PE-Araripina,2020-05-13,nowcast,1.2,0.3,2.3,0.7,1.4,0.36
PE-Araripina,2020-05-14,nowcast,1.3,0.3,2.4,0.8,1.6,0.29
PE-Araripina,2020-05-15,nowcast,1.3,0.4,2.4,0.9,1.6,0.26
PE-Araripina,2020-05-16,nowcast,1.4,0.5,2.4,0.9,1.6,0.22
PE-Araripina,2020-05-17,nowcast,1.4,0.5,2.4,0.9,1.6,0.23
PE-Araripina,2020-05-18,nowcast,1.4,0.6,2.4,0.9,1.6,0.22
PE-Araripina,2020-05-19,nowcast,1.3,0.5,2.3,0.9,1.6,0.23
PE-Araripina,2020-05-20,nowcast,1.3,0.5,2.1,0.9,1.5,0.24
PE-Araripina,2020-05-21,nowcast,1.3,0.5,2.1,0.9,1.5,0.27
PE-Araripina,2020-05-22,nowcast,1.2,0.5,2.1,0.9,1.5,0.27
PE-Araripina,2020-05-23,nowcast,1.2,0.5,2,0.9,1.4,0.28
PE-Araripina,2020-05-24,nowcast,1.2,0.5,2,0.9,1.4,0.3
PE-Araripina,2020-05-25,nowcast,1.2,0.5,1.9,0.9,1.4,0.31
PE-Araripina,2020-05-26,nowcast,1.2,0.5,1.9,0.9,1.4,0.33
PE-Araripina,2020-05-27,nowcast,1.1,0.5,1.8,0.8,1.3,0.35
PE-Araripina,2020-05-28,nowcast,1.1,0.5,1.7,0.8,1.3,0.39
PE-Araripina,2020-05-29,nowcast,1.1,0.5,1.8,0.8,1.3,0.4
PE-Araripina,2020-05-30,nowcast,1.1,0.5,1.7,0.8,1.2,0.42
PE-Araripina,2020-05-31,nowcast,1,0.5,1.7,0.8,1.2,0.44
PE-Araripina,2020-06-01,nowcast,1,0.5,1.6,0.8,1.2,0.44
PE-Araripina,2020-06-02,nowcast,1,0.5,1.7,0.8,1.2,0.44
PE-Araripina,2020-06-03,nowcast,1.1,0.5,1.7,0.8,1.2,0.43
PE-Araripina,2020-06-04,nowcast,1.1,0.4,1.7,0.8,1.2,0.39
PE-Araripina,2020-06-05,nowcast,1.1,0.5,1.9,0.8,1.3,0.34
PE-Araripina,2020-06-06,nowcast,1.2,0.6,1.9,0.9,1.3,0.3
PE-Araripina,2020-06-07,nowcast,1.2,0.6,2,0.9,1.4,0.23
PE-Araripina,2020-06-08,nowcast,1.3,0.7,1.9,1,1.5,0.19
PE-Araripina,2020-06-09,nowcast,1.3,0.7,1.9,1,1.4,0.19
PE-Araripina,2020-06-10,nowcast,1.3,0.7,1.9,1,1.5,0.17
PE-Araripina,2020-06-11,nowcast,1.3,0.7,1.9,1,1.4,0.18
PE-Araripina,2020-06-12,nowcast,1.2,0.7,1.8,1,1.4,0.2
PE-Araripina,2020-06-13,nowcast,1.2,0.6,1.7,1,1.4,0.24
PE-Araripina,2020-06-14,nowcast,1.2,0.7,1.7,1,1.3,0.3
PE-Araripina,2020-06-15,nowcast,1.1,0.6,1.6,0.9,1.3,0.38
PE-Araripina,2020-06-16,nowcast,1,0.6,1.5,0.9,1.2,0.43
PE-Araripina,2020-06-17,nowcast,1,0.5,1.5,0.8,1.1,0.52
PE-Araripina,2020-06-18,nowcast,1,0.5,1.4,0.8,1.2,0.54
PE-Araripina,2020-06-19,nowcast,0.9,0.5,1.4,0.8,1.1,0.6
PE-Araripina,2020-06-20,nowcast,0.9,0.5,1.4,0.8,1.1,0.6
PE-Araripina,2020-06-21,nowcast,0.9,0.5,1.4,0.7,1.1,0.59
PE-Araripina,2020-06-22,nowcast,1,0.5,1.5,0.8,1.1,0.58
PE-Araripina,2020-06-23,nowcast,1,0.5,1.4,0.8,1.1,0.58
PE-Araripina,2020-06-24,nowcast,1,0.5,1.5,0.8,1.1,0.55
PE-Araripina,2020-06-25,nowcast,1,0.5,1.6,0.8,1.1,0.51
PE-Araripina,2020-06-26,nowcast,1,0.6,1.6,0.8,1.2,0.45
PE-Araripina,2020-06-27,nowcast,1.1,0.6,1.6,0.8,1.2,0.4
PE-Araripina,2020-06-28,nowcast,1.1,0.6,1.7,0.9,1.2,0.35
PE-Araripina,2020-06-29,nowcast,1.1,0.6,1.7,0.9,1.3,0.31
PE-Araripina,2020-06-30,nowcast,1.2,0.7,1.7,0.9,1.3,0.27
PE-Araripina,2020-07-01,nowcast,1.2,0.7,1.7,1,1.4,0.23
PE-Araripina,2020-07-02,nowcast,1.2,0.8,1.8,1,1.4,0.21
PE-Araripina,2020-07-03,nowcast,1.2,0.7,1.7,1,1.4,0.18
PE-Araripina,2020-07-04,nowcast,1.2,0.7,1.7,1,1.4,0.16
PE-Araripina,2020-07-05,nowcast,1.3,0.8,1.8,1,1.4,0.15
PE-Araripina,2020-07-06,nowcast,1.3,0.8,1.8,1,1.4,0.13
PE-Araripina,2020-07-07,nowcast,1.3,0.8,1.8,1.1,1.4,0.12
PE-Araripina,2020-07-08,nowcast,1.3,0.9,1.7,1.1,1.4,0.12
PE-Araripina,2020-07-09,nowcast,1.3,0.9,1.7,1.1,1.4,0.11
PE-Araripina,2020-07-10,nowcast,1.3,0.9,1.7,1.1,1.4,0.1
PE-Araripina,2020-07-11,nowcast,1.3,0.9,1.7,1.1,1.4,0.1
PE-Araripina,2020-07-12,nowcast,1.3,0.9,1.7,1.1,1.4,0.1
PE-Araripina,2020-07-13,nowcast,1.3,0.9,1.6,1.1,1.4,0.1
PE-Araripina,2020-07-14,nowcast,1.3,0.9,1.6,1.1,1.4,0.08
PE-Araripina,2020-07-15,nowcast,1.3,0.9,1.6,1.1,1.4,0.08
PE-Araripina,2020-07-16,nowcast,1.3,0.9,1.6,1.1,1.4,0.08
PE-Araripina,2020-07-17,nowcast,1.2,0.9,1.6,1.1,1.4,0.09
PE-Araripina,2020-07-18,nowcast,1.2,0.9,1.5,1.1,1.4,0.11
PE-Araripina,2020-07-19,nowcast,1.2,0.9,1.5,1.1,1.3,0.14
PE-Araripina,2020-07-20,nowcast,1.2,0.9,1.4,1.1,1.3,0.17
PE-Araripina,2020-07-21,nowcast,1.1,0.8,1.4,1,1.2,0.24
PE-Araripina,2020-07-22,nowcast,1.1,0.8,1.4,1,1.2,0.27
PE-Araripina,2020-07-23,nowcast,1.1,0.8,1.3,1,1.2,0.28
PE-Araripina,2020-07-24,nowcast,1.1,0.8,1.3,1,1.2,0.28
PE-Araripina,2020-07-25,nowcast,1.1,0.8,1.3,1,1.2,0.32
PE-Araripina,2020-07-26,nowcast,1.1,0.8,1.3,1,1.1,0.34
PE-Araripina,2020-07-27,nowcast,1,0.8,1.3,1,1.2,0.37
PE-Araripina,2020-07-28,nowcast,1,0.8,1.3,0.9,1.1,0.42
PE-Araripina,2020-07-29,nowcast,1,0.8,1.3,0.9,1.1,0.42
PE-Araripina,2020-07-30,nowcast,1,0.8,1.3,0.9,1.1,0.43
PE-Araripina,2020-07-31,nowcast,1,0.8,1.3,0.9,1.1,0.43
PE-Araripina,2020-08-01,nowcast,1,0.8,1.3,0.9,1.1,0.44
PE-Araripina,2020-08-02,nowcast,1,0.8,1.3,0.9,1.1,0.45
PE-Araripina,2020-08-03,nowcast,1,0.8,1.3,0.9,1.1,0.49
PE-Araripina,2020-08-04,nowcast,1,0.7,1.2,0.9,1.1,0.54
PE-Araripina,2020-08-05,nowcast,1,0.7,1.2,0.9,1.1,0.61
PE-Araripina,2020-08-06,nowcast,1,0.7,1.2,0.9,1.1,0.62
PE-Araripina,2020-08-07,nowcast,1,0.7,1.2,0.9,1,0.64
PE-Araripina,2020-08-08,nowcast,1,0.7,1.2,0.9,1.1,0.6
PE-Araripina,2020-08-09,forecast,1,0.7,1.3,0.8,1.1,0.58
PE-Araripina,2020-08-10,forecast,1,0.6,1.3,0.8,1.1,0.57
PE-Araripina,2020-08-11,forecast,1,0.6,1.3,0.8,1.1,0.57
PE-Araripina,2020-08-12,forecast,1,0.6,1.4,0.8,1.2,0.56
PE-Araripina,2020-08-13,forecast,1,0.5,1.4,0.8,1.1,0.57
PE-Araripina,2020-08-14,forecast,1,0.5,1.4,0.8,1.1,0.57
PE-Araripina,2020-08-15,forecast,1,0.5,1.4,0.8,1.1,0.57
PE-Araripina,2020-08-16,forecast,1,0.5,1.4,0.8,1.1,0.56
PE-Araripina,2020-08-17,forecast,1,0.4,1.4,0.7,1.1,0.57
PE-Araripina,2020-08-18,forecast,0.9,0.4,1.5,0.8,1.2,0.57
PE-Araripina,2020-08-19,forecast,1,0.4,1.5,0.8,1.2,0.56
PE-Araripina,2020-08-20,forecast,1,0.4,1.5,0.7,1.2,0.55
PE-Araripina,2020-08-21,forecast,1,0.4,1.5,0.8,1.2,0.56
PE-Araripina,2020-08-22,forecast,1,0.4,1.5,0.7,1.2,0.56
PE-Caruaru,2020-04-26,nowcast,1.4,0.7,2.3,1.1,1.7,0.15
PE-Caruaru,2020-04-27,nowcast,1.4,0.6,2.3,1.1,1.6,0.14
PE-Caruaru,2020-04-28,nowcast,1.4,0.7,2.2,1.1,1.7,0.13
PE-Caruaru,2020-04-29,nowcast,1.4,0.7,2.2,1.1,1.7,0.13
PE-Caruaru,2020-04-30,nowcast,1.4,0.8,2.1,1.1,1.6,0.11
PE-Caruaru,2020-05-01,nowcast,1.4,0.8,2.1,1.2,1.6,0.11
PE-Caruaru,2020-05-02,nowcast,1.4,0.8,2.1,1.1,1.6,0.1
PE-Caruaru,2020-05-03,nowcast,1.4,0.9,2.1,1.2,1.6,0.09
PE-Caruaru,2020-05-04,nowcast,1.4,0.9,2,1.2,1.6,0.08
PE-Caruaru,2020-05-05,nowcast,1.4,0.9,2,1.2,1.6,0.08
PE-Caruaru,2020-05-06,nowcast,1.4,0.9,2,1.2,1.6,0.07
PE-Caruaru,2020-05-07,nowcast,1.4,0.9,1.9,1.2,1.6,0.09
PE-Caruaru,2020-05-08,nowcast,1.4,0.9,1.8,1.2,1.5,0.09
PE-Caruaru,2020-05-09,nowcast,1.3,0.9,1.8,1.1,1.5,0.09
PE-Caruaru,2020-05-10,nowcast,1.3,0.9,1.8,1.2,1.5,0.08
PE-Caruaru,2020-05-11,nowcast,1.3,0.9,1.7,1.1,1.4,0.11
PE-Caruaru,2020-05-12,nowcast,1.3,0.9,1.7,1.1,1.4,0.11
PE-Caruaru,2020-05-13,nowcast,1.2,0.9,1.7,1.1,1.4,0.13
PE-Caruaru,2020-05-14,nowcast,1.2,0.9,1.6,1.1,1.3,0.15
PE-Caruaru,2020-05-15,nowcast,1.2,0.9,1.6,1.1,1.3,0.16
PE-Caruaru,2020-05-16,nowcast,1.2,0.9,1.5,1,1.3,0.16
PE-Caruaru,2020-05-17,nowcast,1.2,0.8,1.5,1,1.3,0.2
PE-Caruaru,2020-05-18,nowcast,1.1,0.8,1.5,1,1.3,0.2
PE-Caruaru,2020-05-19,nowcast,1.1,0.8,1.4,1,1.3,0.21
PE-Caruaru,2020-05-20,nowcast,1.1,0.8,1.4,1,1.2,0.23
PE-Caruaru,2020-05-21,nowcast,1.1,0.8,1.4,1,1.2,0.24
PE-Caruaru,2020-05-22,nowcast,1.1,0.8,1.5,1,1.2,0.21
PE-Caruaru,2020-05-23,nowcast,1.1,0.8,1.4,1,1.2,0.18
PE-Caruaru,2020-05-24,nowcast,1.2,0.9,1.5,1,1.2,0.16
PE-Caruaru,2020-05-25,nowcast,1.2,0.9,1.4,1,1.2,0.14
PE-Caruaru,2020-05-26,nowcast,1.2,0.9,1.5,1,1.3,0.14
PE-Caruaru,2020-05-27,nowcast,1.2,0.9,1.5,1,1.3,0.11
PE-Caruaru,2020-05-28,nowcast,1.2,0.9,1.5,1.1,1.3,0.1
PE-Caruaru,2020-05-29,nowcast,1.2,0.9,1.5,1.1,1.3,0.09
PE-Caruaru,2020-05-30,nowcast,1.2,0.9,1.5,1.1,1.3,0.08
PE-Caruaru,2020-05-31,nowcast,1.2,1,1.5,1.1,1.3,0.08
PE-Caruaru,2020-06-01,nowcast,1.2,1,1.5,1.1,1.3,0.07
PE-Caruaru,2020-06-02,nowcast,1.2,1,1.5,1.1,1.3,0.06
PE-Caruaru,2020-06-03,nowcast,1.2,1,1.5,1.1,1.3,0.06
PE-Caruaru,2020-06-04,nowcast,1.2,1,1.5,1.1,1.3,0.04
PE-Caruaru,2020-06-05,nowcast,1.2,1,1.5,1.1,1.3,0.04
PE-Caruaru,2020-06-06,nowcast,1.3,1,1.5,1.2,1.3,0.02
PE-Caruaru,2020-06-07,nowcast,1.3,1,1.5,1.2,1.3,0.03
PE-Caruaru,2020-06-08,nowcast,1.3,1,1.5,1.2,1.3,0.03
PE-Caruaru,2020-06-09,nowcast,1.2,1,1.4,1.2,1.3,0.03
PE-Caruaru,2020-06-10,nowcast,1.2,1,1.4,1.1,1.3,0.04
PE-Caruaru,2020-06-11,nowcast,1.2,1,1.4,1.1,1.3,0.06
PE-Caruaru,2020-06-12,nowcast,1.2,0.9,1.4,1.1,1.2,0.09
PE-Caruaru,2020-06-13,nowcast,1.1,0.9,1.3,1.1,1.2,0.13
PE-Caruaru,2020-06-14,nowcast,1.1,0.9,1.3,1,1.2,0.15
PE-Caruaru,2020-06-15,nowcast,1.1,0.9,1.3,1,1.2,0.19
PE-Caruaru,2020-06-16,nowcast,1.1,0.9,1.2,1,1.1,0.26
PE-Caruaru,2020-06-17,nowcast,1,0.9,1.2,1,1.1,0.31
PE-Caruaru,2020-06-18,nowcast,1,0.9,1.2,1,1.1,0.32
