region,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
Acre,2020-05-06,nowcast,1.2,0.6,1.9,1,1.4,0.28
Acre,2020-05-07,nowcast,1.2,0.5,1.8,0.9,1.4,0.29
Acre,2020-05-08,nowcast,1.2,0.6,1.8,0.9,1.4,0.28
Acre,2020-05-09,nowcast,1.2,0.6,1.8,0.9,1.4,0.3
Acre,2020-05-10,nowcast,1.2,0.6,1.8,0.9,1.4,0.29
Acre,2020-05-11,nowcast,1.2,0.6,1.8,1,1.4,0.27
Acre,2020-05-12,nowcast,1.2,0.6,1.8,0.9,1.4,0.28
Acre,2020-05-13,nowcast,1.2,0.6,1.8,1,1.4,0.28
Acre,2020-05-14,nowcast,1.2,0.7,1.8,0.9,1.3,0.28
Acre,2020-05-15,nowcast,1.2,0.7,1.8,1,1.4,0.28
Acre,2020-05-16,nowcast,1.2,0.7,1.7,0.9,1.3,0.27
Acre,2020-05-17,nowcast,1.2,0.6,1.7,0.9,1.3,0.28
Acre,2020-05-18,nowcast,1.2,0.6,1.6,0.9,1.3,0.28
Acre,2020-05-19,nowcast,1.1,0.7,1.7,0.9,1.3,0.3
Acre,2020-05-20,nowcast,1.1,0.7,1.7,0.9,1.3,0.3
Acre,2020-05-21,nowcast,1.1,0.7,1.6,0.9,1.3,0.34
Acre,2020-05-22,nowcast,1.1,0.6,1.6,0.9,1.2,0.37
Acre,2020-05-23,nowcast,1.1,0.6,1.6,0.9,1.2,0.4
Acre,2020-05-24,nowcast,1,0.6,1.5,0.9,1.2,0.42
Acre,2020-05-25,nowcast,1,0.6,1.5,0.9,1.2,0.46
Acre,2020-05-26,nowcast,1,0.6,1.4,0.8,1.1,0.5
Acre,2020-05-27,nowcast,1,0.6,1.5,0.8,1.1,0.5
Acre,2020-05-28,nowcast,1,0.6,1.5,0.8,1.2,0.49
Acre,2020-05-29,nowcast,1,0.6,1.4,0.8,1.2,0.49
Acre,2020-05-30,nowcast,1,0.6,1.4,0.8,1.1,0.52
Acre,2020-05-31,nowcast,1,0.6,1.5,0.8,1.1,0.53
Acre,2020-06-01,nowcast,1,0.5,1.4,0.8,1.1,0.55
Acre,2020-06-02,nowcast,1,0.5,1.4,0.8,1.1,0.55
Acre,2020-06-03,nowcast,1,0.5,1.4,0.8,1.1,0.57
Acre,2020-06-04,nowcast,1,0.5,1.4,0.8,1.1,0.58
Acre,2020-06-05,nowcast,0.9,0.5,1.4,0.8,1.1,0.59
Acre,2020-06-06,nowcast,0.9,0.5,1.4,0.8,1.1,0.59
