"Region","New confirmed cases by infection date","Expected change in daily cases","Effective reproduction no.","Doubling/halving time (days)"
"Acre","11 (4 -- 18)","Likely increasing","1.3 (0.7 -- 1.8)","10 (3.3 -- -8.9)"
"Alagoas","16 (7 -- 23)","Unsure","1.1 (0.7 -- 1.5)","31 (5.2 -- -8.3)"
"Amazonas","20 (10 -- 28)","Unsure","1.2 (0.8 -- 1.5)","19 (5.3 -- -12)"
"Bahia","69 (49 -- 84)","Unsure","1.1 (0.9 -- 1.2)","42 (10 -- -21)"
"Ceará","28 (15 -- 37)","Unsure","0.9 (0.7 -- 1.2)","-36 (12 -- -7.4)"
"Distrito Federal","41 (28 -- 53)","Unsure","1.1 (0.9 -- 1.3)","35 (8.2 -- -15)"
"Espirito Santo","25 (14 -- 34)","Unsure","1 (0.8 -- 1.4)","64 (7.4 -- -9.6)"
"Goiás","47 (31 -- 59)","Unsure","1 (0.8 -- 1.2)","260 (11 -- -13)"
"Maranhão","19 (9 -- 27)","Unsure","1 (0.7 -- 1.3)","150 (6.8 -- -7.4)"
"Mato Grosso","37 (23 -- 48)","Unsure","1 (0.8 -- 1.2)","-36000 (10 -- -11)"
"Mato Grosso do Sul","21 (12 -- 30)","Unsure","1.1 (0.8 -- 1.5)","24 (5.6 -- -10)"
"Minas Gerais","93 (72 -- 112)","Unsure","1 (0.9 -- 1.2)","100 (14 -- -18)"
"Pará","14 (6 -- 20)","Unsure","1 (0.6 -- 1.3)","-81 (7 -- -6)"
"Paraíba","27 (16 -- 37)","Unsure","1.1 (0.8 -- 1.4)","41 (7.1 -- -11)"
"Paraná","53 (35 -- 67)","Unsure","1 (0.8 -- 1.2)","-670 (13 -- -12)"
"Pernambuco","41 (27 -- 53)","Unsure","1 (0.8 -- 1.2)","-200 (12 -- -10)"
"Piauí","21 (10 -- 29)","Unsure","1.1 (0.7 -- 1.4)","49 (6.7 -- -9.1)"
"Rio de Janeiro","65 (49 -- 78)","Likely decreasing","0.9 (0.8 -- 1.1)","-42 (22 -- -11)"
"Rio Grande do Norte","17 (9 -- 25)","Unsure","1 (0.6 -- 1.3)","-48 (7.5 -- -5.9)"
"Rio Grande do Sul","51 (36 -- 66)","Unsure","1 (0.8 -- 1.2)","-85 (15 -- -11)"
"Rondônia","14 (5 -- 22)","Unsure","1.2 (0.7 -- 1.6)","18 (4.3 -- -8.2)"
"Roraima","9 (3 -- 16)","Unsure","1.2 (0.6 -- 1.7)","22 (3.9 -- -6.1)"
"Santa Catarina","50 (33 -- 64)","Unsure","1 (0.8 -- 1.3)","73 (10 -- -14)"
"São Paulo","247 (215 -- 273)","Unsure","1 (0.9 -- 1.1)","4100 (28 -- -27)"
"Sergipe","20 (10 -- 29)","Unsure","1 (0.7 -- 1.3)","130 (7 -- -7.8)"
"Tocantins","13 (5 -- 21)","Unsure","1.2 (0.7 -- 1.6)","20 (4.3 -- -7.5)"
