"date","type","bottom","top","lower","upper","median","mean","region"
2020-02-10,"nowcast",1,1,1,1,1,1,"PE-Olinda"
2020-02-11,"nowcast",0,0,0,0,0,0,"PE-Olinda"
2020-02-12,"nowcast",0,0,0,0,0,0,"PE-Olinda"
2020-02-13,"nowcast",0,0,0,0,0,0,"PE-Olinda"
2020-02-14,"nowcast",0,0,0,0,0,0,"PE-Olinda"
2020-02-15,"nowcast",0,1,1,1,1,0.75,"PE-Olinda"
2020-02-16,"nowcast",0,0,0,0,0,0,"PE-Olinda"
2020-02-17,"nowcast",0,1,0,1,0.5,0.5,"PE-Olinda"
2020-02-18,"nowcast",0,0,0,0,0,0,"PE-Olinda"
2020-02-19,"nowcast",0,1,0,0,0,0.222222222222222,"PE-Olinda"
2020-02-20,"nowcast",0,1,0,0,0,0.416666666666667,"PE-Olinda"
2020-02-21,"nowcast",0,1,0,0,0,0.142857142857143,"PE-Olinda"
2020-02-22,"nowcast",0,1,0,0,0,0.315789473684211,"PE-Olinda"
2020-02-23,"nowcast",0,1,0,0,0,0.142857142857143,"PE-Olinda"
2020-02-24,"nowcast",0,1,0,0,0,0.181818181818182,"PE-Olinda"
2020-02-25,"nowcast",0,1,0,0,0,0.46875,"PE-Olinda"
2020-02-26,"nowcast",0,1,0,0,0,0.268292682926829,"PE-Olinda"
2020-02-27,"nowcast",0,1,0,0,0,0.344827586206897,"PE-Olinda"
2020-02-28,"nowcast",0,1,0,0,0,0.306666666666667,"PE-Olinda"
2020-02-29,"nowcast",0,1,0,0,0,0.326923076923077,"PE-Olinda"
2020-03-01,"nowcast",0,1,0,0,0,0.292682926829268,"PE-Olinda"
2020-03-02,"nowcast",0,1,0,0,0,0.335443037974684,"PE-Olinda"
2020-03-03,"nowcast",0,1,0,0,0,0.244791666666667,"PE-Olinda"
2020-03-04,"nowcast",0,1,0,0,0,0.359504132231405,"PE-Olinda"
2020-03-05,"nowcast",0,1,0,0,0,0.32312925170068,"PE-Olinda"
2020-03-06,"nowcast",0,1,0,0,0,0.328571428571429,"PE-Olinda"
2020-03-07,"nowcast",0,1,0,0,0,0.390300230946882,"PE-Olinda"
2020-03-08,"nowcast",0,1,0,0,0,0.386904761904762,"PE-Olinda"
2020-03-09,"nowcast",0,1,0,0,0,0.404109589041096,"PE-Olinda"
2020-03-10,"nowcast",0,1,0,0,0,0.443131462333826,"PE-Olinda"
2020-03-11,"nowcast",0,1,0,0,0,0.45822102425876,"PE-Olinda"
2020-03-12,"nowcast",0,1,0,0,0,0.574029126213592,"PE-Olinda"
2020-03-13,"nowcast",0,2,0,0,0,0.606575963718821,"PE-Olinda"
2020-03-14,"nowcast",0,2,0,0,0,0.636659436008677,"PE-Olinda"
2020-03-15,"nowcast",0,2,0,1,1,0.783840503672613,"PE-Olinda"
