"Region","New confirmed cases by infection date","Expected change in daily cases","Effective reproduction no.","Doubling/halving time (days)"
"PI-Agricolândia","4 (0 -- 9)","Unsure","1.6 (0.4 -- 2.9)","5.3 (1.4 -- -2.3)"
"PI-Água Branca","10 (5 -- 17)","Unsure","1 (0.6 -- 1.4)","-31 (6.8 -- -4.7)"
"PI-Alagoinha do Piauí","8 (2 -- 14)","Likely increasing","1.6 (0.6 -- 2.8)","4.9 (1.9 -- -6.5)"
"PI-Alegrete do Piauí","5 (1 -- 9)","Likely increasing","1.5 (0.5 -- 2.4)","6.3 (2 -- -5.8)"
"PI-Alto Longá","4 (0 -- 7)","Unsure","1.3 (0.4 -- 2.4)","14 (2.4 -- -3.4)"
"PI-Altos","12 (4 -- 19)","Unsure","1.2 (0.7 -- 1.8)","15 (3.8 -- -8.2)"
"PI-Amarante","7 (2 -- 12)","Unsure","1.2 (0.5 -- 1.8)","14 (3 -- -5.5)"
"PI-Angical do Piauí","6 (0 -- 15)","Unsure","1.8 (0.4 -- 3.3)","4.2 (1.5 -- -4.4)"
"PI-Antônio Almeida","4 (0 -- 7)","Unsure","0.9 (0.3 -- 1.5)","-25 (3.7 -- -3.1)"
"PI-Assunção do Piauí","5 (0 -- 12)","Unsure","1.6 (0.3 -- 2.7)","6.4 (1.5 -- -3.4)"
"PI-Baixa Grande do Ribeiro","28 (15 -- 36)","Likely increasing","1.2 (0.8 -- 1.5)","17 (5.6 -- -15)"
"PI-Barras","34 (25 -- 46)","Unsure","1 (0.8 -- 1.2)","1700 (10 -- -10)"
"PI-Barro Duro","9 (3 -- 15)","Unsure","1.1 (0.5 -- 1.8)","-570 (4.1 -- -3.7)"
"PI-Batalha","6 (2 -- 9)","Unsure","1.2 (0.6 -- 2)","14 (3.1 -- -6)"
"PI-Belém do Piauí","5 (1 -- 8)","Unsure","1.3 (0.6 -- 2.2)","13 (2.7 -- -4.1)"
"PI-Beneditinos","5 (0 -- 9)","Unsure","1.3 (0.4 -- 2.2)","12 (2.2 -- -3.7)"
"PI-Bertolínia","7 (1 -- 10)","Unsure","1.4 (0.5 -- 2.1)","8.1 (2.5 -- -5.5)"
"PI-Boa Hora","4 (0 -- 11)","Unsure","1.6 (0.4 -- 2.7)","-6.2 (1.5 -- -3.1)"
"PI-Bom Jesus","14 (6 -- 20)","Unsure","1 (0.6 -- 1.4)","-62 (6.6 -- -6.2)"
"PI-Bonfim do Piauí","5 (1 -- 8)","Likely increasing","1.6 (0.7 -- 2.4)","5.6 (2 -- -7.8)"
"PI-Boqueirão do Piauí","5 (1 -- 9)","Unsure","1.3 (0.3 -- 2.4)","17 (2.2 -- -2.8)"
"PI-Brasileira","4 (0 -- 8)","Unsure","1.5 (0.3 -- 2.5)","6.4 (1.7 -- -3.6)"
"PI-Buriti dos Lopes","5 (1 -- 10)","Unsure","1 (0.5 -- 1.5)","-91 (4 -- -3.8)"
"PI-Cabeceiras do Piauí","5 (1 -- 9)","Unsure","1.5 (0.6 -- 2.6)","6 (2 -- -5.3)"
"PI-Cajueiro da Praia","5 (1 -- 9)","Likely increasing","1.6 (0.6 -- 2.8)","4.8 (1.8 -- -5.9)"
"PI-Caldeirão Grande do Piauí","8 (2 -- 13)","Unsure","1.4 (0.8 -- 2.2)","6.8 (2.5 -- -9.8)"
"PI-Campo Largo do Piauí","7 (1 -- 16)","Unsure","1.5 (0.4 -- 2.4)","7 (2 -- -4.8)"
"PI-Campo Maior","12 (4 -- 20)","Unsure","1.1 (0.6 -- 1.7)","17 (3.8 -- -7.2)"
"PI-Canto do Buriti","4 (1 -- 8)","Unsure","1.4 (0.4 -- 2.4)","5.7 (1.8 -- -4.8)"
"PI-Capitão de Campos","4 (0 -- 7)","Unsure","1.4 (0.5 -- 2.3)","10 (2.1 -- -3.7)"
"PI-Caraúbas do Piauí","5 (0 -- 10)","Unsure","1.2 (0.5 -- 1.9)","19 (2.7 -- -4)"
"PI-Castelo do Piauí","7 (0 -- 16)","Unsure","1.5 (0.5 -- 2.9)","7.8 (1.9 -- -3.8)"
"PI-Caxingó","4 (0 -- 6)","Likely increasing","1.8 (0.5 -- 3.2)","4.8 (1.4 -- -3)"
"PI-Cocal","5 (0 -- 9)","Unsure","1.2 (0.5 -- 1.9)","18 (3 -- -4.3)"
"PI-Coivaras","5 (0 -- 10)","Unsure","1.6 (0.5 -- 2.9)","6.3 (1.8 -- -4.1)"
"PI-Colônia do Gurguéia","3 (0 -- 7)","Unsure","1.6 (0.3 -- 2.7)","11 (1.7 -- -2.5)"
"PI-Corrente","9 (3 -- 17)","Likely increasing","1.5 (0.7 -- 2.4)","6.2 (2.3 -- -12)"
"PI-Cristino Castro","4 (0 -- 9)","Unsure","1.5 (0.3 -- 2.6)","9.5 (2.1 -- -3.5)"
"PI-Curimatá","4 (0 -- 9)","Unsure","1.3 (0.4 -- 2.4)","17 (2.4 -- -3.1)"
"PI-Currais","5 (1 -- 8)","Unsure","1.1 (0.5 -- 1.8)","23 (3.2 -- -4.2)"
"PI-Curral Novo do Piauí","6 (0 -- 13)","Unsure","1.5 (0.2 -- 2.4)","9.6 (2 -- -3.4)"
"PI-Curralinhos","6 (1 -- 10)","Unsure","1.2 (0.6 -- 1.9)","22 (3.5 -- -5)"
"PI-Demerval Lobão","9 (4 -- 15)","Unsure","1 (0.6 -- 1.4)","30000 (5.2 -- -5.3)"
"PI-Dom Inocêncio","4 (0 -- 9)","Unsure","1.8 (0.1 -- 3.3)","3.9 (1.1 -- -3.1)"
"PI-Elesbão Veloso","6 (0 -- 10)","Unsure","1.2 (0.5 -- 1.9)","14 (2.6 -- -3.8)"
"PI-Esperantina","9 (1 -- 16)","Unsure","1.1 (0.5 -- 1.6)","-170 (4.7 -- -4.4)"
"PI-Floresta do Piauí","3 (0 -- 6)","Unsure","1.7 (0.1 -- 2.7)","2 (1.4 -- -3)"
"PI-Floriano","46 (36 -- 58)","Unsure","1 (0.9 -- 1.2)","120 (10 -- -13)"
"PI-Francisco Macedo","10 (1 -- 17)","Likely increasing","1.4 (0.6 -- 1.9)","12 (3.1 -- -6.8)"
"PI-Fronteiras","5 (0 -- 9)","Unsure","1.4 (0.4 -- 2)","11 (2.5 -- -5)"
"PI-Gilbués","6 (2 -- 11)","Likely increasing","1.5 (0.7 -- 2.4)","6.8 (2.2 -- -7.7)"
"PI-Guadalupe","5 (0 -- 12)","Unsure","1.8 (0.3 -- 3.2)","4.5 (1.2 -- -2.5)"
"PI-Hugo Napoleão","7 (1 -- 12)","Unsure","1.1 (0.6 -- 1.7)","20 (3.6 -- -5.8)"
"PI-Ilha Grande","5 (0 -- 9)","Unsure","1.4 (0.5 -- 2.2)","8.9 (2.2 -- -4.7)"
"PI-Inhuma","4 (1 -- 8)","Unsure","1.5 (0.3 -- 2.5)","7.9 (1.9 -- -3.4)"
"PI-Ipiranga do Piauí","4 (0 -- 8)","Unsure","1.4 (0.3 -- 2.2)","7.5 (2 -- -4.7)"
"PI-Itaueira","4 (0 -- 8)","Likely increasing","1.8 (0.4 -- 3.2)","4 (1.4 -- -4.1)"
"PI-Jaicós","4 (0 -- 7)","Unsure","1.4 (0.4 -- 2.2)","8.5 (2.1 -- -4)"
"PI-Jerumenha","3 (0 -- 7)","Unsure","1.4 (0.3 -- 2.4)","7.7 (1.8 -- -3.4)"
"PI-Joaquim Pires","52 (27 -- 80)","Increasing","1.6 (1.1 -- 2)","5.3 (3.2 -- 14)"
