region,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
PI-Água Branca,2020-05-10,nowcast,1.1,0.5,1.7,0.7,1.2,0.37
PI-Água Branca,2020-05-11,nowcast,1.1,0.5,1.8,1,1.4,0.34
PI-Água Branca,2020-05-12,nowcast,1.1,0.5,1.9,0.8,1.3,0.33
PI-Água Branca,2020-05-13,nowcast,1.2,0.5,1.9,0.9,1.4,0.32
PI-Água Branca,2020-05-14,nowcast,1.1,0.3,1.8,0.7,1.3,0.36
PI-Água Branca,2020-05-15,nowcast,1.2,0.6,1.9,0.9,1.4,0.31
PI-Água Branca,2020-05-16,nowcast,1.2,0.6,1.8,0.8,1.3,0.33
PI-Água Branca,2020-05-17,nowcast,1.2,0.7,1.8,1,1.4,0.3
PI-Água Branca,2020-05-18,nowcast,1.1,0.6,1.7,0.9,1.3,0.37
PI-Água Branca,2020-05-19,nowcast,1.1,0.5,1.7,0.8,1.3,0.4
PI-Água Branca,2020-05-20,nowcast,1.1,0.5,1.7,0.9,1.3,0.41
PI-Água Branca,2020-05-21,nowcast,1,0.5,1.6,0.8,1.2,0.47
PI-Água Branca,2020-05-22,nowcast,1,0.5,1.6,0.7,1.1,0.53
PI-Água Branca,2020-05-23,nowcast,1,0.5,1.6,0.6,1,0.52
PI-Água Branca,2020-05-24,nowcast,1,0.4,1.5,0.8,1.2,0.53
PI-Água Branca,2020-05-25,nowcast,0.9,0.5,1.5,0.7,1.1,0.6
PI-Água Branca,2020-05-26,nowcast,1,0.5,1.5,0.7,1.1,0.55
PI-Água Branca,2020-05-27,nowcast,1,0.4,1.5,0.7,1.1,0.55
PI-Água Branca,2020-05-28,nowcast,1,0.5,1.6,0.8,1.1,0.54
PI-Água Branca,2020-05-29,nowcast,1,0.5,1.6,0.8,1.1,0.51
PI-Água Branca,2020-05-30,nowcast,1,0.5,1.8,0.6,1.1,0.47
PI-Água Branca,2020-05-31,nowcast,1,0.5,1.7,0.9,1.3,0.45
PI-Água Branca,2020-06-01,nowcast,1.1,0.6,1.7,0.8,1.3,0.41
PI-Água Branca,2020-06-02,nowcast,1.1,0.5,1.7,0.9,1.4,0.39
PI-Água Branca,2020-06-03,nowcast,1.1,0.4,1.8,0.9,1.4,0.39
PI-Água Branca,2020-06-04,nowcast,1.1,0.4,1.8,0.9,1.3,0.39
PI-Água Branca,2020-06-05,nowcast,1.2,0.6,1.8,0.9,1.3,0.32
PI-Água Branca,2020-06-06,nowcast,1.2,0.6,1.8,0.8,1.3,0.3
PI-Água Branca,2020-06-07,nowcast,1.2,0.5,1.9,1.1,1.5,0.19
PI-Água Branca,2020-06-08,nowcast,1.2,0.7,1.9,1,1.5,0.2
PI-Água Branca,2020-06-09,nowcast,1.2,0.7,1.9,0.9,1.4,0.24
PI-Água Branca,2020-06-10,nowcast,1.3,0.6,1.8,1.1,1.6,0.23
PI-Água Branca,2020-06-11,nowcast,1.2,0.7,1.9,1,1.3,0.19
PI-Água Branca,2020-06-12,nowcast,1.2,0.7,1.7,0.9,1.4,0.24
PI-Água Branca,2020-06-13,nowcast,1.2,0.7,1.8,1,1.4,0.25
PI-Água Branca,2020-06-14,nowcast,1.2,0.8,1.8,1.1,1.4,0.2
PI-Água Branca,2020-06-15,nowcast,1.2,0.8,1.9,1,1.4,0.21
PI-Água Branca,2020-06-16,nowcast,1.2,0.7,1.8,1,1.4,0.21
PI-Água Branca,2020-06-17,nowcast,1.2,0.7,1.6,1,1.3,0.26
PI-Água Branca,2020-06-18,nowcast,1.1,0.7,1.7,0.9,1.3,0.3
