"date","type","bottom","top","lower","upper","median","mean"
2020-01-30,"nowcast",1,1,1,1,1,1
2020-01-31,"nowcast",0,0,0,0,0,0
2020-02-01,"nowcast",0,0,0,0,0,0
2020-02-02,"nowcast",0,0,0,0,0,0
2020-02-03,"nowcast",0,0,0,0,0,0
2020-02-04,"nowcast",0,0,0,0,0,0
2020-02-05,"nowcast",0,0,0,0,0,0
2020-02-06,"nowcast",0,0,0,0,0,0
2020-02-07,"nowcast",0,0,0,0,0,0
2020-02-08,"nowcast",0,0,0,0,0,0
2020-02-09,"nowcast",0,1,0,1,0.5,0.5
2020-02-10,"nowcast",0,1,0,1,0.5,0.5
2020-02-11,"nowcast",0,1,0,1,0.5,0.5
2020-02-12,"nowcast",0,0,0,0,0,0
2020-02-13,"nowcast",0,1,0,0,0,0.4
2020-02-14,"nowcast",0,1,0,0,0,0.166666666666667
2020-02-15,"nowcast",0,1,0,0,0,0.25
2020-02-16,"nowcast",0,1,1,1,1,0.666666666666667
2020-02-17,"nowcast",0,1,0,0,0,0.391304347826087
2020-02-18,"nowcast",0,1,0,0,0,0.296296296296296
2020-02-19,"nowcast",0,1,0,0,0,0.425
2020-02-20,"nowcast",0,1,0,0,0,0.358490566037736
2020-02-21,"nowcast",0,1,0,0,0,0.394366197183099
2020-02-22,"nowcast",0,1,0,0,0,0.386138613861386
2020-02-23,"nowcast",0,1,0,0,0,0.446043165467626
2020-02-24,"nowcast",0,1,0,0,0,0.380116959064327
2020-02-25,"nowcast",0,1,0,0,0,0.391891891891892
2020-02-26,"nowcast",0,1,0,0,0,0.427083333333333
2020-02-27,"nowcast",0,1,0,0,0,0.440119760479042
2020-02-28,"nowcast",0,1,0,0,0,0.474698795180723
2020-02-29,"nowcast",0,1,0,0,0,0.5
2020-03-01,"nowcast",0,1,0,0,0,0.550541516245487
2020-03-02,"nowcast",0,2,0,0,0,0.611821086261981
2020-03-03,"nowcast",0,2,0,1,1,0.748201438848921
2020-03-04,"nowcast",0,2,0,1,1,0.860284605433376
2020-03-05,"nowcast",0,2,0,1,1,1.00118906064209
2020-03-06,"nowcast",0,3,0,1,1,1.18456375838926
2020-03-07,"nowcast",0,3,0,1,1,1.36864406779661
2020-03-08,"nowcast",0,4,0,1,1,1.62936344969199
2020-03-09,"nowcast",0,4,1,2,2,1.92230070635721
2020-03-10,"nowcast",0,5,0,2,2,2.39819458375125
2020-03-11,"nowcast",0,6,1,3,3,3.173
2020-03-12,"nowcast",0,7,2,4,4,3.814
2020-03-13,"nowcast",0,8,1,4,4,4.586
2020-03-14,"nowcast",2,10,3,6,5,5.641
2020-03-15,"nowcast",2,11,5,8,7,6.915
2020-03-16,"nowcast",3,13,5,9,8,8.322
2020-03-17,"nowcast",3,15,5,10,10,10.104
2020-03-18,"nowcast",5,17,7,12,12,12.144
2020-03-19,"nowcast",6,19,10,15,14,13.984
2020-03-20,"nowcast",8,22,13,18,16,16.14
2020-03-21,"nowcast",11,25,13,19,18,17.989
2020-03-22,"nowcast",12,27,15,21,20,20.127
2020-03-23,"nowcast",14,29,16,22,22,21.77
2020-03-24,"nowcast",14,30,18,24,23,22.691
2020-03-25,"nowcast",15,30,18,24,23,22.889
2020-03-26,"nowcast",14,30,19,25,23,23.056
2020-03-27,"nowcast",14,31,17,24,23,22.963
2020-03-28,"nowcast",15,32,18,25,24,23.932
2020-03-29,"nowcast",15,33,20,27,25,25.164
2020-03-30,"nowcast",15,34,22,29,27,26.883
2020-03-31,"nowcast",18,38,22,30,28,28.471
2020-04-01,"nowcast",19,40,23,32,30,30.512
2020-04-02,"nowcast",21,44,26,35,33,32.961
2020-04-03,"nowcast",22,46,28,38,35,35.816
2020-04-04,"nowcast",26,51,32,42,39,39.47
2020-04-05,"nowcast",30,57,34,46,44,44.034
2020-04-06,"nowcast",34,62,41,52,49,48.731
2020-04-07,"nowcast",37,67,44,56,53,53.623
2020-04-08,"nowcast",44,75,49,62,58,58.807
2020-04-09,"nowcast",48,81,54,67,64,64.629
2020-04-10,"nowcast",52,86,62,75,70,70.576
2020-04-11,"nowcast",57,91,65,78,76,75.734
2020-04-12,"nowcast",61,94,69,83,79,79.639
2020-04-13,"nowcast",63,98,75,88,83,83.662
2020-04-14,"nowcast",66,104,80,94,87,87.512
2020-04-15,"nowcast",71,110,81,96,92,91.922
2020-04-16,"nowcast",73,114,85,102,97,97.162
2020-04-17,"nowcast",77,121,94,110,101.5,102.059
2020-04-18,"nowcast",83,127,98,116,108,107.957
2020-04-19,"nowcast",91,135,100,118,113,113.415
2020-04-20,"nowcast",96,141,106,125,118,118.627
2020-04-21,"nowcast",102,150,113,132,126,126.145
2020-04-22,"nowcast",108,160,122,142,134,134.447
2020-04-23,"nowcast",113,167,127,149,144,143.792
2020-04-24,"nowcast",125,181,142,164,154,153.888
2020-04-25,"nowcast",136,192,146,170,165,164.976
2020-04-26,"nowcast",144,203,159,184,174,174.827
2020-04-27,"nowcast",150,212,164,190,183,184.803
2020-04-28,"nowcast",160,226,178,205,195.5,195.804
2020-04-29,"nowcast",173,239,186,213,205,205.295
2020-04-30,"nowcast",181,252,200,227,217,216.702
2020-05-01,"nowcast",193,265,208,239,229,230.177
2020-05-02,"nowcast",208,280,223,254,242,242.583
2020-05-03,"nowcast",216,294,236,268,256,257.415
2020-05-04,"nowcast",228,305,253,285,271,270.333
