region,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
AL-Igreja Nova,2020-06-13,nowcast,1.1,0.5,1.6,0.8,1.2,0.39
AL-Igreja Nova,2020-06-14,nowcast,1.1,0.6,1.7,0.8,1.2,0.38
AL-Igreja Nova,2020-06-15,nowcast,1.1,0.6,1.7,0.8,1.2,0.34
AL-Igreja Nova,2020-06-16,nowcast,1.1,0.5,1.6,0.9,1.3,0.39
AL-Igreja Nova,2020-06-17,nowcast,1.1,0.5,1.7,0.9,1.3,0.38
AL-Igreja Nova,2020-06-18,nowcast,1.1,0.5,1.7,0.8,1.3,0.39
AL-Igreja Nova,2020-06-19,nowcast,1.1,0.6,1.6,0.9,1.2,0.34
AL-Igreja Nova,2020-06-20,nowcast,1.1,0.7,1.7,0.8,1.2,0.37
AL-Igreja Nova,2020-06-21,nowcast,1.1,0.6,1.6,0.9,1.2,0.36
AL-Igreja Nova,2020-06-22,nowcast,1.1,0.7,1.6,0.9,1.2,0.4
AL-Igreja Nova,2020-06-23,nowcast,1.1,0.6,1.5,0.9,1.2,0.37
AL-Igreja Nova,2020-06-24,nowcast,1.1,0.6,1.6,0.9,1.2,0.4
AL-Igreja Nova,2020-06-25,nowcast,1.1,0.5,1.5,0.9,1.3,0.39
AL-Igreja Nova,2020-06-26,nowcast,1.1,0.6,1.6,0.9,1.2,0.37
AL-Igreja Nova,2020-06-27,nowcast,1.1,0.5,1.5,0.9,1.3,0.36
AL-Igreja Nova,2020-06-28,nowcast,1,0.4,1.6,0.8,1.2,0.45
AL-Igreja Nova,2020-06-29,nowcast,1,0.5,1.4,0.8,1.2,0.42
AL-Igreja Nova,2020-06-30,nowcast,1.1,0.6,1.5,0.9,1.3,0.42
AL-Igreja Nova,2020-07-01,nowcast,1.1,0.6,1.6,0.8,1.2,0.41
AL-Igreja Nova,2020-07-02,nowcast,1,0.6,1.6,0.8,1.2,0.47
AL-Igreja Nova,2020-07-03,nowcast,1,0.6,1.7,0.8,1.2,0.49
AL-Igreja Nova,2020-07-04,nowcast,1,0.6,1.4,0.8,1.1,0.48
AL-Igreja Nova,2020-07-05,nowcast,1.1,0.6,1.5,0.9,1.2,0.4
AL-Igreja Nova,2020-07-06,nowcast,1,0.6,1.5,0.8,1.1,0.5
AL-Igreja Nova,2020-07-07,nowcast,1,0.6,1.6,0.8,1.1,0.47
AL-Igreja Nova,2020-07-08,nowcast,1,0.6,1.5,0.8,1.2,0.47
AL-Igreja Nova,2020-07-09,nowcast,1,0.6,1.4,0.8,1.1,0.52
AL-Igreja Nova,2020-07-10,nowcast,1,0.5,1.4,0.8,1.1,0.55
AL-Igreja Nova,2020-07-11,nowcast,1,0.6,1.4,0.8,1.2,0.53
AL-Igreja Nova,2020-07-12,nowcast,1,0.5,1.4,0.8,1.1,0.54
AL-Igreja Nova,2020-07-13,nowcast,1,0.6,1.5,0.8,1.1,0.54
AL-Igreja Nova,2020-07-14,nowcast,1,0.5,1.5,0.8,1.2,0.48
AL-Igreja Nova,2020-07-15,nowcast,1,0.7,1.4,0.9,1.2,0.46
AL-Igreja Nova,2020-07-16,nowcast,1,0.6,1.5,0.9,1.2,0.45
AL-Igreja Nova,2020-07-17,nowcast,1.1,0.6,1.6,0.9,1.3,0.36
AL-Igreja Nova,2020-07-18,nowcast,1.1,0.7,1.7,0.8,1.2,0.39
AL-Igreja Nova,2020-07-19,nowcast,1.1,0.7,1.6,0.9,1.3,0.34
AL-Igreja Nova,2020-07-20,nowcast,1.1,0.6,1.6,0.9,1.3,0.33
AL-Igreja Nova,2020-07-21,nowcast,1.2,0.6,1.8,0.9,1.3,0.28
AL-Igreja Nova,2020-07-22,nowcast,1.1,0.6,1.6,0.9,1.2,0.38
AL-Igreja Nova,2020-07-23,nowcast,1.1,0.4,1.6,0.9,1.3,0.37
AL-Igreja Nova,2020-07-24,nowcast,1.1,0.6,1.6,0.9,1.2,0.4
AL-Igreja Nova,2020-07-25,nowcast,1,0.6,1.4,0.9,1.2,0.43
AL-Igreja Nova,2020-07-26,nowcast,1,0.6,1.5,0.9,1.2,0.43
AL-Igreja Nova,2020-07-27,nowcast,1,0.6,1.5,0.8,1.1,0.45
AL-Igreja Nova,2020-07-28,nowcast,1.1,0.6,1.6,0.9,1.2,0.38
AL-Igreja Nova,2020-07-29,nowcast,1.1,0.6,1.6,0.9,1.3,0.35
AL-Igreja Nova,2020-07-30,nowcast,1.1,0.7,1.6,0.9,1.2,0.33
AL-Igreja Nova,2020-07-31,nowcast,1.1,0.6,1.7,1,1.3,0.28
AL-Igreja Nova,2020-08-01,nowcast,1.2,0.7,1.7,1,1.3,0.22
AL-Igreja Nova,2020-08-02,nowcast,1.2,0.8,1.9,1,1.4,0.2
AL-Igreja Nova,2020-08-03,nowcast,1.2,0.7,1.7,0.9,1.3,0.25
