"Region","New confirmed cases by infection date","Expected change in daily cases","Effective reproduction no.","Doubling/halving time (days)"
"AL-Feira Grande","7 (1 -- 12)","Unsure","1.3 (0.5 -- 2.1)","9.3 (2.6 -- -5.7)"
"AL-Messias","9 (2 -- 15)","Unsure","1.3 (0.6 -- 2.1)","9.4 (2.6 -- -5.8)"
"AL-Pariconha","6 (0 -- 10)","Likely increasing","1.9 (0.7 -- 3)","3.5 (1.6 -- -13)"
"AL-Santana do Ipanema","22 (13 -- 30)","Unsure","1.1 (0.8 -- 1.4)","23 (5.8 -- -11)"
"AL-São Brás","6 (1 -- 11)","Likely increasing","1.7 (0.7 -- 2.8)","4.1 (1.7 -- -8.8)"
"BA-Almadina","8 (2 -- 14)","Unsure","1.4 (0.6 -- 2.2)","7.3 (2.5 -- -8)"
"BA-Apuarema","6 (1 -- 11)","Likely increasing","1.5 (0.6 -- 2.3)","6.6 (2.3 -- -7)"
"BA-Cafarnaum","5 (0 -- 12)","Unsure","1.8 (0.3 -- 3.2)","3.4 (1.3 -- -3.8)"
"BA-Capim Grosso","23 (13 -- 31)","Likely increasing","1.2 (0.8 -- 1.5)","16 (5.3 -- -17)"
"BA-Catu","21 (13 -- 29)","Unsure","1 (0.7 -- 1.3)","-780 (8.7 -- -8.3)"
"BA-Conceição do Coité","18 (10 -- 25)","Likely decreasing","0.8 (0.6 -- 1.1)","-14 (20 -- -5.3)"
"BA-Eunápolis","27 (16 -- 36)","Unsure","0.9 (0.7 -- 1.2)","-28 (14 -- -7.1)"
"BA-Gentio do Ouro","3 (0 -- 6)","Likely increasing","2 (0.2 -- 3.6)","1.8 (0.92 -- -3.7)"
"BA-Ibirataia","19 (10 -- 26)","Unsure","1 (0.7 -- 1.3)","-100 (8.2 -- -7.1)"
"BA-Itapé","10 (3 -- 15)","Unsure","1.1 (0.6 -- 1.6)","50 (4.6 -- -5.6)"
"BA-São Felipe","5 (0 -- 8)","Unsure","1.1 (0.4 -- 1.8)","41 (2.9 -- -3.4)"
"BA-São Sebastião do Passé","13 (5 -- 19)","Unsure","1.1 (0.7 -- 1.5)","23 (4.6 -- -7.7)"
"BA-Tanquinho","5 (0 -- 9)","Unsure","1 (0.3 -- 1.7)","-97 (3.3 -- -3.1)"
"BA-Wenceslau Guimarães","8 (3 -- 13)","Unsure","1.1 (0.6 -- 1.7)","14 (3.4 -- -6.4)"
"CE-Acarape","16 (8 -- 25)","Unsure","0.9 (0.6 -- 1.3)","-40 (7.6 -- -5.4)"
"CE-Caririaçu","15 (5 -- 23)","Unsure","1.2 (0.7 -- 1.6)","17 (4.3 -- -9.1)"
"CE-Catunda","4 (0 -- 8)","Unsure","1.2 (0.3 -- 2.2)","8.8 (1.9 -- -3.3)"
"CE-Crateús","35 (23 -- 45)","Unsure","1.1 (0.8 -- 1.3)","39 (8 -- -14)"
"CE-Farias Brito","16 (7 -- 24)","Unsure","1.2 (0.7 -- 1.6)","14 (4 -- -10)"
"CE-Maracanaú","41 (26 -- 52)","Unsure","1 (0.8 -- 1.2)","-150 (12 -- -10)"
"CE-Maranguape","11 (2 -- 18)","Likely decreasing","0.7 (0.3 -- 1.2)","-8.7 (12 -- -3.1)"
"CE-Santa Quitéria","14 (4 -- 21)","Likely increasing","1.5 (0.8 -- 2.3)","4.3 (2.2 -- 74)"
"MA-Balsas","84 (68 -- 100)","Unsure","1 (0.8 -- 1.2)","130 (15 -- -19)"
"MA-Barra do Corda","28 (17 -- 38)","Unsure","1 (0.7 -- 1.3)","950 (8.3 -- -8.6)"
"MA-Buriticupu","20 (9 -- 28)","Unsure","1 (0.7 -- 1.4)","-71 (8.6 -- -7)"
"MA-Fortaleza dos Nogueiras","22 (11 -- 31)","Increasing","1.6 (1 -- 2.1)","4.6 (2.7 -- 19)"
"PB-Itapororoca","12 (3 -- 19)","Unsure","1 (0.6 -- 1.4)","-640 (5.9 -- -5.9)"
"PB-Lucena","5 (1 -- 10)","Unsure","1.2 (0.4 -- 2)","11 (2.5 -- -4.5)"
"PB-São Domingos do Cariri","4 (0 -- 10)","Likely increasing","2.3 (0.4 -- 4)","2.4 (1 -- -3.9)"
"PB-São José dos Ramos","4 (0 -- 7)","Unsure","1.3 (0.5 -- 2.3)","8.8 (2.2 -- -4.3)"
"PB-Serraria","6 (0 -- 10)","Unsure","1.3 (0.5 -- 2.1)","8.5 (2.5 -- -5.8)"
"PB-Sertãozinho","6 (1 -- 10)","Unsure","1.1 (0.5 -- 1.6)","72 (4.3 -- -4.9)"
"PB-Sumé","6 (1 -- 11)","Unsure","1.4 (0.6 -- 2.2)","7.7 (2.4 -- -5.7)"
"PI-Demerval Lobão","13 (6 -- 20)","Unsure","1.2 (0.8 -- 1.7)","14 (4.1 -- -10)"
"PI-Ilha Grande","5 (0 -- 9)","Unsure","1.4 (0.4 -- 2.2)","9.3 (2.2 -- -4.1)"
"PI-São João do Arraial","5 (0 -- 11)","Unsure","1.3 (0.4 -- 2.2)","13 (2.3 -- -3.6)"
"SE-Amparo de São Francisco","7 (0 -- 20)","Unsure","1.5 (0.2 -- 2.7)","7.2 (1.7 -- -3.2)"
"SE-Malhada dos Bois","5 (0 -- 11)","Unsure","1.4 (0.2 -- 2.4)","13 (1.8 -- -2.6)"
"SE-Moita Bonita","14 (6 -- 20)","Unsure","1.1 (0.7 -- 1.4)","50 (5.8 -- -7.7)"
"SE-São Miguel do Aleixo","6 (0 -- 12)","Likely increasing","1.7 (0.6 -- 2.9)","4.2 (1.6 -- -6.5)"
