"type","date","rt_type","bottom","top","lower","upper","median","mean","std"
"nowcast",2020-06-28,"forecast",261,439,305,376,354,357.9286,54.322835862455
"nowcast",2020-06-29,"forecast",265,485,317,406,376,379.8618,69.0693797322903
"nowcast",2020-06-30,"forecast",268,534,329,434,394.5,402.3232,84.3407861915164
"nowcast",2020-07-01,"forecast",257,577,321,450,416,428.0006,104.5199745726
"nowcast",2020-07-02,"forecast",248,636,339,487,439,458.865,131.573413300779
"nowcast",2020-07-03,"forecast",255,710,343,517,460,489.255,162.109919191208
"nowcast",2020-07-04,"forecast",247,796,330,526,485,526.433,204.488776814202
"nowcast",2020-07-05,"forecast",227,862,343,566,513.5,567.2034,250.106796209823
"nowcast",2020-07-06,"forecast",233,971,349,605,539,617.4246,328.412376217174
"nowcast",2020-07-07,"forecast",240,1098,342,630,571,674.841,442.142317455338
"nowcast",2020-07-08,"forecast",225,1252,323,645,603,739.6302,548.010642762416
"nowcast",2020-07-09,"forecast",186,1377,344,705,636,822.3982,752.671659731009
"nowcast",2020-07-10,"forecast",195,1551,320,725,677,928.2612,1150.8749323869
"nowcast",2020-07-11,"forecast",213,1807,362,805,713.5,1057.2382,1550.43741256938
