"date","type","bottom","top","lower","upper","median","mean"
2020-02-07,"nowcast",1,1,1,1,1,1
2020-02-08,"nowcast",0,1,0,1,0.5,0.5
2020-02-09,"nowcast",0,0,0,0,0,0
2020-02-10,"nowcast",0,0,0,0,0,0
2020-02-11,"nowcast",0,1,0,1,0.5,0.5
2020-02-12,"nowcast",0,1,0,1,0.5,0.5
2020-02-13,"nowcast",0,1,0,0,0,0.416666666666667
2020-02-14,"nowcast",0,1,0,0,0,0.294117647058824
2020-02-15,"nowcast",0,1,1,1,1,0.657142857142857
2020-02-16,"nowcast",0,1,0,0,0,0.365384615384615
2020-02-17,"nowcast",0,1,0,0,0,0.461538461538462
2020-02-18,"nowcast",0,1,0,0,0,0.433962264150943
2020-02-19,"nowcast",0,1,0,0,0,0.304
2020-02-20,"nowcast",0,1,0,0,0,0.407643312101911
2020-02-21,"nowcast",0,1,0,0,0,0.412371134020619
2020-02-22,"nowcast",0,1,0,0,0,0.56015037593985
2020-02-23,"nowcast",0,1,0,0,0,0.489028213166144
2020-02-24,"nowcast",0,1,0,0,0,0.60545905707196
2020-02-25,"nowcast",0,1,0,0,0,0.603305785123967
2020-02-26,"nowcast",0,2,0,0,0,0.663082437275986
2020-02-27,"nowcast",0,2,0,1,1,0.736176935229068
2020-02-28,"nowcast",0,2,0,1,1,0.910128388017118
2020-02-29,"nowcast",0,2,0,1,1,1.0261780104712
2020-03-01,"nowcast",0,3,0,1,1,1.25872442839952
2020-03-02,"nowcast",0,3,0,1,1,1.39545454545455
2020-03-03,"nowcast",0,4,0,1,1,1.79153094462541
2020-03-04,"nowcast",0,5,0,2,2,2.22641509433962
2020-03-05,"nowcast",0,6,0,2,2,2.68930041152263
2020-03-06,"nowcast",0,7,1,3,3,3.34311740890688
2020-03-07,"nowcast",0,8,1,4,4,4.3033033033033
2020-03-08,"nowcast",1,10,2,5,5,5.39039039039039
2020-03-09,"nowcast",1,12,3,7,6,6.631
2020-03-10,"nowcast",1,14,3,8,8,8.194
2020-03-11,"nowcast",2,18,5,11,10,10.401
2020-03-12,"nowcast",4,21,6,13,12,12.786
2020-03-13,"nowcast",6,25,8,16,15,15.711
2020-03-14,"nowcast",7,29,11,20,19,19.293
2020-03-15,"nowcast",10,35,15,25,23,23.598
2020-03-16,"nowcast",14,40,18,29,27,28.191
2020-03-17,"nowcast",18,48,24,36,33,34.286
2020-03-18,"nowcast",23,53,31,43,40,40.086
2020-03-19,"nowcast",31,62,38,51,47,47.514
2020-03-20,"nowcast",36,69,48,60,55,55.176
2020-03-21,"nowcast",46,78,54,67,62,62.64
2020-03-22,"nowcast",52,86,62,75,70,69.813
2020-03-23,"nowcast",57,92,67,80,76,76.334
2020-03-24,"nowcast",65,99,70,84,80,80.804
2020-03-25,"nowcast",66,101,73,87,84,84.178
2020-03-26,"nowcast",65,104,76,91,86,86.519
2020-03-27,"nowcast",71,110,81,96,90,90.567
2020-03-28,"nowcast",73,114,86,102,96,96.565
2020-03-29,"nowcast",83,126,92,109,105,105.003
2020-03-30,"nowcast",90,132,101,118,112,111.998
2020-03-31,"nowcast",95,139,103,121,118,118.622
2020-04-01,"nowcast",98,143,112,130,123,123.247
2020-04-02,"nowcast",103,152,116,135,128,128.59
2020-04-03,"nowcast",103,155,120,141,133,133.605
2020-04-04,"nowcast",114,165,125,145,138,138.807
2020-04-05,"nowcast",117,175,131,155,145,145.431
2020-04-06,"nowcast",117,181,135,161,152,153.906
2020-04-07,"nowcast",130,198,143,171,164,164.517
2020-04-08,"nowcast",143,216,159,189,178,178.811
2020-04-09,"nowcast",155,231,170,200,193,193.491
2020-04-10,"nowcast",172,247,188,218,208,209.693
2020-04-11,"nowcast",185,262,202,235,226,225.847
2020-04-12,"nowcast",200,281,219,252,241,242.012
2020-04-13,"nowcast",214,294,239,271,258,258.656
2020-04-14,"nowcast",231,314,255,287,275,275.254
2020-04-15,"nowcast",252,335,269,302,291,291.061
2020-04-16,"nowcast",269,351,289,324,308,308.14
2020-04-17,"nowcast",280,362,304,338,324.5,324.683
2020-04-18,"nowcast",298,381,318,351,341,341.386
2020-04-19,"nowcast",311,394,332,368,354,354.385
2020-04-20,"nowcast",314,406,342,377,364,365.2
2020-04-21,"nowcast",330,425,352,391,374,375.353
2020-04-22,"nowcast",333,439,365,406,384,385.434
2020-04-23,"nowcast",340,459,369,415,396.5,399.361
2020-04-24,"nowcast",362,480,385,435,418.5,419.59
2020-04-25,"nowcast",388,512,415,467,447.5,446.391
2020-04-26,"nowcast",414,530,446,497,477,476.264
2020-04-27,"nowcast",453,570,487,533,511,510.812
2020-04-28,"nowcast",496,601,528,571,545,544.558
2020-04-29,"nowcast",523,621,547,586,569,568.52
2020-04-30,"nowcast",540,627,561,597,583,583.496
2020-05-01,"nowcast",539,626,562,597,583,583.403
2020-05-02,"nowcast",533,617,559,593,575,575.433
2020-05-03,"nowcast",525,611,549,584,568,566.404
2020-05-04,"nowcast",521,607,539,574,562,561.847
2020-05-05,"nowcast",511,601,543,578,563,562.444
2020-05-06,"nowcast",517,605,540,575,564,563.14
2020-05-07,"nowcast",518,610,545,581,565,566.192
2020-05-08,"nowcast",525,619,551,587,572,570.561
2020-05-09,"nowcast",530,622,554,592,579,578.555
2020-05-10,"nowcast",535,626,561,596,582,581.305
2020-05-11,"nowcast",531,622,561,595,581,581.087
2020-05-12,"nowcast",533,616,555,589,576,575.85
2020-05-13,"nowcast",524,607,553,587,570,569.01
2020-05-14,"nowcast",515,597,542,574,560,559.742
2020-05-15,"nowcast",509,589,527,559,547,546.443
2020-05-16,"nowcast",492,570,511,542,529,528.979
2020-05-17,"nowcast",470,552,489,524,512,511.707
2020-05-18,"nowcast",451,532,479,511,492,491.811
2020-05-19,"nowcast",433,526,460,496,482,482.551
2020-05-20,"nowcast",436,534,462,500,487,487.203
2020-05-21,"nowcast",451,550,482,521,503,501.445
2020-05-22,"nowcast",474,570,500,538,521,520.742
2020-05-23,"nowcast",494,586,518,556,538.5,539.068
2020-05-24,"nowcast",501,593,528,566,551,550.802
2020-05-25,"nowcast",511,603,539,577,558,557.106
2020-05-26,"nowcast",508,606,531,568,553,553.326
2020-05-27,"nowcast",489,584,517,552,535,535.566
2020-05-28,"nowcast",463,555,495,533,511,510.965
2020-05-29,"nowcast",441,524,461,495,483,483.669
2020-05-30,"nowcast",416,502,437,470,459,459.227
2020-05-31,"nowcast",394,470,419,449,436,436.255
2020-06-01,"nowcast",378,450,393,422,413,412.925
2020-06-02,"nowcast",361,428,377,404,395,395.182
2020-06-03,"nowcast",351,417,366,393,386,385.964
2020-06-04,"nowcast",343,415,360,389,380,381.159
2020-06-05,"nowcast",343,413,362,392,378,378.858
2020-06-06,"nowcast",333,401,350,377,369,368.84
2020-06-07,"nowcast",318,383,337,365,353,352.474
2020-06-08,"nowcast",303,363,315,342,333,332.614
2020-06-09,"nowcast",285,347,307,332,319,318.308
2020-06-10,"nowcast",278,337,295,319,310,310.354
2020-06-11,"nowcast",284,344,293,317,309,310.495
2020-06-12,"nowcast",278,337,294,318,309,309.248
2020-06-13,"nowcast",279,337,291,315,307,306.958
2020-06-14,"nowcast",267,325,284,308,299,299.093
2020-06-15,"nowcast",257,317,273,297,288,288.23
2020-06-16,"nowcast",250,305,266,288,280,279.665
2020-06-17,"nowcast",249,306,260,283,275,275.544
2020-06-18,"nowcast",246,299,260,282,272.5,272.728
2020-06-19,"nowcast",237,295,259,280,271,270.855
2020-06-20,"nowcast",236,293,248,273,266,266.543
2020-06-21,"nowcast",233,290,247,270,261,260.472
2020-06-22,"nowcast",221,292,238,265,255,256.308
2020-06-23,"nowcast",222,298,241,272,260,260.347
2020-06-24,"nowcast",226,310,244,282,270,270.557
2020-06-25,"nowcast",240,333,262,303,287,289.98
2020-06-26,"nowcast",255,364,285,332,316,316.789
2020-06-27,"nowcast",293,417,324,376,352,353.004
2020-06-28,"forecast",261,439,305,376,354,357.9286
2020-06-29,"forecast",265,485,317,406,376,379.8618
2020-06-30,"forecast",268,534,329,434,394.5,402.3232
2020-07-01,"forecast",257,577,321,450,416,428.0006
2020-07-02,"forecast",248,636,339,487,439,458.865
2020-07-03,"forecast",255,710,343,517,460,489.255
2020-07-04,"forecast",247,796,330,526,485,526.433
2020-07-05,"forecast",227,862,343,566,513.5,567.2034
2020-07-06,"forecast",233,971,349,605,539,617.4246
2020-07-07,"forecast",240,1098,342,630,571,674.841
2020-07-08,"forecast",225,1252,323,645,603,739.6302
2020-07-09,"forecast",186,1377,344,705,636,822.3982
2020-07-10,"forecast",195,1551,320,725,677,928.2612
2020-07-11,"forecast",213,1807,362,805,713.5,1057.2382
