"date","type","bottom","top","lower","upper","median","mean","region"
2020-02-02,"nowcast",1,1,1,1,1,1,"Rio Grande do Sul"
2020-02-03,"nowcast",0,1,0,0,0,0.333333333333333,"Rio Grande do Sul"
2020-02-04,"nowcast",0,1,0,1,0.5,0.5,"Rio Grande do Sul"
2020-02-05,"nowcast",0,1,0,1,0.5,0.5,"Rio Grande do Sul"
2020-02-06,"nowcast",0,1,0,0,0,0.416666666666667,"Rio Grande do Sul"
2020-02-07,"nowcast",0,1,0,0,0,0.266666666666667,"Rio Grande do Sul"
2020-02-08,"nowcast",0,1,0,0,0,0.434782608695652,"Rio Grande do Sul"
2020-02-09,"nowcast",0,1,0,0,0,0.333333333333333,"Rio Grande do Sul"
2020-02-10,"nowcast",0,1,0,0,0,0.35,"Rio Grande do Sul"
2020-02-11,"nowcast",0,1,0,0,0,0.344827586206897,"Rio Grande do Sul"
2020-02-12,"nowcast",0,1,0,0,0,0.441860465116279,"Rio Grande do Sul"
2020-02-13,"nowcast",0,1,0,0,0,0.368421052631579,"Rio Grande do Sul"
2020-02-14,"nowcast",0,1,0,0,0,0.335714285714286,"Rio Grande do Sul"
2020-02-15,"nowcast",0,1,0,0,0,0.327586206896552,"Rio Grande do Sul"
2020-02-16,"nowcast",0,1,0,0,0,0.376681614349776,"Rio Grande do Sul"
2020-02-17,"nowcast",0,1,0,0,0,0.413427561837456,"Rio Grande do Sul"
2020-02-18,"nowcast",0,1,0,0,0,0.406528189910979,"Rio Grande do Sul"
2020-02-19,"nowcast",0,1,0,0,0,0.428915662650602,"Rio Grande do Sul"
2020-02-20,"nowcast",0,1,0,0,0,0.492813141683778,"Rio Grande do Sul"
2020-02-21,"nowcast",0,1,0,0,0,0.515625,"Rio Grande do Sul"
2020-02-22,"nowcast",0,1,0,0,0,0.510670731707317,"Rio Grande do Sul"
2020-02-23,"nowcast",0,2,0,0,0,0.600828729281768,"Rio Grande do Sul"
2020-02-24,"nowcast",0,2,0,1,1,0.7359900373599,"Rio Grande do Sul"
2020-02-25,"nowcast",0,2,0,1,1,0.837209302325581,"Rio Grande do Sul"
2020-02-26,"nowcast",0,2,0,1,1,1.00444938820912,"Rio Grande do Sul"
