"Region","New confirmed cases by infection date","Expected change in daily cases","Effective reproduction no.","Doubling/halving time (days)"
"CE-Acarape","13 (7 -- 22)","Unsure","1.1 (0.6 -- 1.5)","28 (4.8 -- -6.4)"
"CE-Acaraú","5 (0 -- 9)","Likely decreasing","0.7 (0.2 -- 1)","-6 (17 -- -2.4)"
"CE-Acopiara","11 (5 -- 18)","Unsure","1.2 (0.8 -- 1.7)","13 (3.7 -- -9.8)"
"CE-Alcântaras","4 (0 -- 8)","Unsure","1.4 (0.3 -- 2.2)","8.1 (2 -- -3.9)"
"CE-Alto Santo","6 (1 -- 9)","Unsure","1 (0.4 -- 1.7)","-260 (3.6 -- -3.7)"
"CE-Amontada","5 (0 -- 8)","Unsure","1.3 (0.6 -- 2.1)","18 (2.6 -- -4.1)"
"CE-Aquiraz","6 (2 -- 12)","Unsure","0.9 (0.4 -- 1.3)","-27 (5.6 -- -4)"
"CE-Aracati","5 (0 -- 8)","Unsure","0.9 (0.4 -- 1.4)","-39 (4.2 -- -3.4)"
"CE-Aracoiaba","6 (1 -- 11)","Unsure","1 (0.4 -- 1.7)","-85 (4 -- -3.6)"
"CE-Aratuba","5 (1 -- 10)","Unsure","1.4 (0.5 -- 2.2)","7.9 (2.4 -- -5.3)"
"CE-Assaré","4 (1 -- 8)","Unsure","1.2 (0.4 -- 1.8)","12 (2.5 -- -4)"
"CE-Baixio","5 (0 -- 9)","Unsure","1.4 (0.6 -- 2.1)","13 (2.4 -- -4.4)"
"CE-Banabuiú","5 (0 -- 10)","Unsure","1.2 (0.2 -- 1.7)","23 (3 -- -4.1)"
"CE-Barro","5 (0 -- 9)","Unsure","1.4 (0.5 -- 2.5)","7.2 (2 -- -4.8)"
"CE-Barroquinha","4 (0 -- 8)","Unsure","1.2 (0.3 -- 2)","14 (2.3 -- -3.3)"
"CE-Beberibe","5 (0 -- 9)","Unsure","1.1 (0.3 -- 1.7)","62 (3 -- -3.2)"
"CE-Boa Viagem","15 (8 -- 22)","Likely increasing","1.3 (0.8 -- 1.7)","10 (3.6 -- -13)"
"CE-Brejo Santo","20 (12 -- 30)","Unsure","0.9 (0.6 -- 1.1)","-21 (13 -- -5.8)"
"CE-Camocim","6 (1 -- 10)","Unsure","1 (0.5 -- 1.5)","340 (3.6 -- -3.6)"
"CE-Campos Sales","5 (1 -- 10)","Unsure","1.4 (0.6 -- 2.3)","7.3 (2.2 -- -6.7)"
"CE-Canindé","5 (1 -- 9)","Unsure","0.9 (0.4 -- 1.4)","-15 (6.2 -- -3.4)"
"CE-Capistrano","6 (0 -- 12)","Unsure","1 (0.3 -- 1.7)","-17 (3.4 -- -2.4)"
"CE-Cariré","7 (1 -- 12)","Unsure","1.3 (0.6 -- 2.1)","8.9 (2.8 -- -7.6)"
"CE-Caririaçu","8 (3 -- 13)","Unsure","0.9 (0.6 -- 1.3)","-42 (5.8 -- -4.5)"
"CE-Cariús","11 (5 -- 16)","Likely increasing","1.3 (0.7 -- 1.7)","10 (3.4 -- -10)"
"CE-Carnaubal","6 (2 -- 10)","Unsure","1.2 (0.5 -- 1.8)","13 (2.9 -- -5.2)"
"CE-Cascavel","6 (1 -- 11)","Likely decreasing","0.7 (0.4 -- 1.2)","-5.6 (20 -- -2.5)"
"CE-Catunda","5 (0 -- 9)","Unsure","1.5 (0.4 -- 2.6)","5.9 (1.8 -- -4.4)"
"CE-Caucaia","16 (9 -- 23)","Unsure","0.9 (0.6 -- 1.2)","-18 (11 -- -4.9)"
"CE-Cedro","9 (2 -- 14)","Unsure","1.1 (0.5 -- 1.5)","54 (4.7 -- -5.1)"
"CE-Chaval","4 (1 -- 8)","Unsure","1.1 (0.2 -- 1.7)","31 (2.8 -- -3.3)"
"CE-Coreaú","8 (0 -- 11)","Unsure","0.9 (0.5 -- 1.4)","-35 (5.1 -- -4.1)"
"CE-Crateús","42 (30 -- 50)","Unsure","1.1 (0.9 -- 1.3)","34 (8.5 -- -18)"
"CE-Crato","81 (62 -- 92)","Unsure","1 (0.8 -- 1.1)","290 (16 -- -16)"
"CE-Croatá","4 (1 -- 8)","Unsure","1.4 (0.7 -- 2.4)","6.1 (1.9 -- -5.5)"
"CE-Ererê","5 (1 -- 9)","Likely increasing","1.7 (0.6 -- 2.7)","5.1 (1.8 -- -5.7)"
"CE-Eusébio","7 (2 -- 12)","Unsure","1.1 (0.6 -- 1.7)","24 (3.5 -- -5.3)"
"CE-Farias Brito","12 (6 -- 19)","Unsure","1.1 (0.6 -- 1.5)","29 (4.8 -- -7.2)"
"CE-Forquilha","4 (0 -- 8)","Unsure","1.4 (0.5 -- 2.4)","4.9 (1.6 -- -4.4)"
"CE-Fortaleza","79 (57 -- 98)","Decreasing","0.7 (0.6 -- 0.9)","-9.1 (-23 -- -5.7)"
"CE-Frecheirinha","19 (11 -- 27)","Unsure","0.9 (0.6 -- 1.1)","-16 (18 -- -5.6)"
"CE-Granja","12 (5 -- 17)","Unsure","1.1 (0.7 -- 1.5)","17 (4.2 -- -8.7)"
"CE-Groaíras","6 (0 -- 10)","Unsure","1.2 (0.5 -- 2)","13 (2.6 -- -4.3)"
"CE-Guaraciaba do Norte","8 (3 -- 14)","Unsure","1 (0.5 -- 1.4)","-35 (6.1 -- -4.1)"
